the los
profile perfil
ring anillo
empire imperio
studied estudiado
philosophy filosofía
corner esquina
corner rincón
worldwide worldwide
skin piel
contribution aportación
contribution contribución
causes causas
confidence confianza
combination combinación
closely cerca
closely estrechamente
leeds leeds
criminal criminal
criminal criminales
criminal penal
criminal penales
monitoring control
monitoring seguimiento
wedding boda
wedding bodas
fear miedo
fear temo
fear temor
acting actuando
camera cámara
jewish judía
jewish judío
jewish judíos
sessions sesiones
block bloque
block bloquear
wine vino
decide decidir
waiting espera
waiting esperando
driver conductor
pieces piezas
regularly periódicamente
regularly regularmente
manage gestionar
flow flow
flow flujo
exist existen
recognised reconocido
limit limitar
limit límite
investigation investigación
adopted adoptado
adopted aprobado
injury lesiones
module módulo
typically típicamente
organised organizada
organised organizado
happen ocurrir
technologies tecnologías
markets mercados
corporation corporation
hundred cien
employers empresarios
contained contenidas
objectives milenio
objectives objetivos
draft proyecto
representatives representantes
permission permiso
persons personas
wild salvaje
wild salvajes
wild silvestres
advertising publicidad
represent representan
represent representar
net neto
net netos
tradition tradición
secret secretas
secret secreto
secret secretos
bristol bristol
sustainable sostenible
rating calificación
reply respuesta
prison cárcel
prison prisión
parking aparcamiento
parking estacionamiento
improvement mejora
usual habitual
russia rusia
evaluation evaluación
resolution resolución
proved demostrado
lee lee
structures estructuras
explain explicar
yorkshire yorkshire
edward edward
measure medida
selling vender
selling venta
establish establecer
revealed revelado
candidate candidato
candidate candidatos
linked vinculada
recognition reconocimiento
entirely totalmente
versions versiones
universities universidades
workshop taller
mile milla
rare raras
proper adecuada
proper adecuado
architecture arquitectura
candidates candidatos
plot complot
iron hierro
iron iron
gardens jardines
microsoft microsoft
emergency emergencia
pension pensión
clean clean
clean limpia
clean limpias
clean limpio
clean limpios
zealand zelanda
zealand zelandia
subsequently posteriormente
bishop monseñor
bishop obispo
ministry ministerio
alan alan
integrated integrada
integrated integrado
border frontera
border fronterizos
adults adultos
sounds suena
remove eliminar
connected relacionadas
connected relacionados
trading comercial
congress congreso
reform reforma
equivalent equivalente
equivalent equivalentes
ships barcos
ships buques
roads carreteras
die die
die morir
die mueren
networks redes
reserve reserva
owners propietarios
troops tropas
welsh galesa
welsh galeses
welsh galés
obtain obtener
explore explorar
simon simon
ian ian
bands bandas
differences diferencias
professionals profesionales
marine marina
marine marino
marine marinos
divided dividida
divided dividido
divided divididos
geography geografía
consumer consumidor
consumer consumidores
regions regiones
grounds motivos
wonderful maravillosa
wonderful maravilloso
representative representante
gift regalo
expressed expresado
joseph joseph
behalf nombre
typical típica
typical típico
typical típicos
domain dominio
mode modalidad
mode modo
crew tripulación
shops tiendas
reader lector
confirmed confirmado
confirmed confirmó
intelligence inteligencia
revolution revolución
broad amplia
broad amplio
input aportaciones
input aportación
difficulties dificultades
broken roto
sex sexo
sex sexual
opposition oposición
era afe
era eei
era era
era época
device dispositivo
curriculum currículum
governor gobernador
races razas
leads conduce
leads lleva
williams williams
steel acero
photo foto
ordered ordenado
sides lados
sides partes
determine determinar
roles papeles
highway circulación
hair cabello
hair pelo
liverpool liverpool
enterprise enterprise
temperature temperatura
drama drama
definition definición
certificate certificado
storage almacenamiento
electric electric
electric eléctrico
electric eléctricos
operate funcionar
operate operar
examination examen
apparently aparentemente
factor factor
unfortunately desgraciadamente
unfortunately lamentablemente
institution institución
poker póker
principle principio
commonly comúnmente
audio audio
argument argumento
reasonable razonable
reasonable razonables
suggests sugiere
winner ganador
winner vencedor
latin latina
visiting visitar
drink beber
drink bebida
drink bebidas
accessible accesible
accessible accesibles
liberal liberal
liberal liberales
existence existencia
afternoon tarde
titles títulos
speaking hablando
involvement implicación
involvement participación
begins comienza
begins empieza
disability discapacidad
guidelines directrices
guidelines orientaciones
positions posiciones
chicago chicago
exciting apasionante
lists listas
estimated estima
estimated estimado
density densidad
wait esperar
weekly semanal
weekly semanales
weekly weekly
attacks ataques
attacks atentados
components componentes
pack pack
proposal propuesta
fleet flota
discussed debatido
golden oro
violence violencia
maintained mantenido
promotion fomento
promotion promoción
directors directores
funded financiado
funded financiados
strategies estrategias
pattern patrón
pattern pauta
brothers brothers
brothers hermanos
brothers lehman
departments departamentos
golf golf
pop pop
improving mejora
improving mejorar
bob bob
informed informado
informed informados
crown corona
crown crown
relief alivio
relief socorro
vital vital
describe describir
putting poner
banks bancos
platform plataforma
pilot pilot
pilot piloto
reduction reducción
churches iglesias
volunteers voluntarios
subsequent posterior
subsequent posteriores
stephen stephen
elections elecciones
participation participación
expert experto
expert expertos
quarter barrio
quarter cuarto
quarter trimestre
scott scott
error error
ages medievo
visited visitado
visited visitó
controlled controlada
controlled controlado
florida florida
criteria criterios
eat comer
dave dave
fashion fashion
fashion moda
guest invitado
messages mensajes
bird bird
regulation reglamento
regulation regulación
zone zona
jim jim
split split
towns ciudades
mathematics matemáticas
temple templo
walls muros
walls walls
favourite favorita
favourite favorito
favourite favoritos
menu menú
frank franco
frank francos
frank frank
yellow amarilla
yellow amarillas
yellow amarillo
button botón
bible biblia
height colmo
readers lectores
authors autores
chain cadena
obvious evidente
obvious obvio
conduct conducta
pacific pacífico
citizens ciudadanos
billion millones
threat amenaza
count conde
count contar
photographs fotografías
drop caída
drop gota
accident accidente
accident accidentes
attempts intentos
computers informática
computers ordenadores
explained explicado
poetry poesía
faculty facultad
negative negativa
negative negativas
negative negativo
negative negativos
motor motor
settlement solución
regard relación
regard respecto
victoria victoria
asia asia
targets objetivos
stress subrayar
solid sólida
solid sólido
solid sólidos
kitchen cocina
origin origen
immediate inmediata
immediate inmediatas
immediate inmediato
trained formados
researchers investigadores
suffered sufrido
tickets billetes
tickets entradas
medal medalla
fishing pesca
knows sabe
appointment designación
appointment nombramiento
debt deuda
fantastic fantástica
fantastic fantástico
tournament torneo
retired jubiladas
retired jubilado
retired jubilados
acquired adquirida
acquired adquirido
acquired adquiridos
brian brian
healthy saludable
healthy sana
obviously evidentemente
obviously obviamente
stadium estadio
landscape paisaje
landscape panorama
shares comparte
soldiers soldados
sky cielo
sky sky
sought buscado
motion moción
lose perder
approaches enfoques
approaches planteamientos
programming programación
streets calle
streets calles
info info
slow lenta
slow lento
holidays vacaciones
coverage cobertura
purchased comprado
relative relativa
quote cita
quote citar
residential residenciales
leisure ocio
interactive interactiva
interactive interactivo
interactive interactivos
restaurant restaurante
restaurant restaurantes
unknown desconocido
unknown desconocidos
virginia virginia
consideration consideración
licence licencia
licence permiso
crisis crisis
falls falls
mountains montaña
mountains montañas
overseas ultramar
archive archivo
virtual virtual
virtual virtuales
substantial sustancial
substantial sustanciales
agricultural agrícola
agricultural agrícolas
installed instalado
installed instalados
stages etapas
stages fases
writers escritores
drivers conductores
drivers marcha
welfare bienestar
sufficient suficiente
sufficient suficientes
retail minorista
retail minoristas
outstanding pendientes
missing desaparecidas
missing desaparecidos
massive masiva
mix combinación
mix mezcla
reflect reflejan
reflect reflejar
reflect reflexionar
enemy enemigo
mine mina
expensive caro
expensive caros
properly adecuadamente
properly correctamente
properly debidamente
jan jan
mexico méxico
sexual sexual
sexual sexuales
possibility posibilidad
paragraph apartado
paragraph párrafo
valuable valiosa
valuable valiosas
valuable valioso
duties obligaciones
reporting reporting
maps mapas
objective objetivo
opposite contrario
devices aparatos
devices dispositivos
kent kent
sequence secuencia
asian asiática
asian asiático
asian asiáticos
coffee café
wear wear
singer cantante
qualified cualificada
qualified cualificados
grew creció
submitted presentado
courts tribunales
officials funcionarios
fifth quinta
fifth quinto
gap brecha
categories categorías
soul alma
soul soul
interface interfaz
ethnic étnica
ethnic étnicas
ethnic étnico
ethnic étnicos
remote remotas
municipality ayuntamiento
municipality municipio
facts hechos
workshops talleres
machines máquinas
represents representa
spending gasto
spending gastos
magic magia
magic mágica
transferred transferido
comedy comedia
learned aprendido
routes rutas
soft blandas
soft indicativo
soft suave
challenges desafíos
challenges retos
reputation reputación
independence independencia
collections colecciones
marks marca
marks marks
territory territorio
engines motores
significantly considerablemente
significantly significativamente
cheap barata
cheap barato
cheap baratos
opera ópera
farmers agricultores
classical clásica
classical clásico
classical clásicos
preparation preparación
mortgage hipoteca
mortgage hipotecario
mortgage hipotecarios
involves implica
fort fort
fill colmar
fill llenar
laboratory laboratorio
employer empleador
employer empresario
noise ruido
kill matar
signal señal
concert concierto
alliance alianza
bedroom dormitorio
deputy adjunto
deputy viceministro
contributions aportaciones
contributions ayudas
contributions contribuciones
photos fotografías
photos fotos
pleased complace
hundreds centenares
hundreds cientos
aspect aspecto
dogs perros
capable capaces
capable capaz
scientists científicas
scientists científicos
joe joe
contribute contribuir
palace palacio
revenue ingresos
premises premisas
recommendations recomendaciones
modules módulos
taylor taylor
dangerous peligrosa
dangerous peligrosas
dangerous peligroso
dangerous peligrosos
resistance resistencia
contrast contraste
wing ala
incident incidente
hotels hoteles
impossible imposible
describes describe
expansion expansión
heads cabeza
heads jefes
considering considerando
peak pico
bath bañera
bath baño
emphasis hincapié
emphasis énfasis
beauty belleza
strike huelga
strike strike
super super
super súper
agenda agenda
lay sentar
yesterday ayer
personnel personal
escape escapar
elizabeth elizabeth
elizabeth isabel
wilson wilson
buying compra
buying comprar
instructions instrucciones
instructions instrucción
rugby rugby
recruitment contratación
recruitment reclutamiento
constitution constitución
hills colinas
innovative innovador
innovative innovadora
innovative innovadoras
innovative innovadores
diversity diversidad
fruit fruit
fruit fruta
fruit frutas
availability disponibilidad
bear bear
monthly mensual
monthly mensuales
sitting sesión
improvements mejoras
recommend recomendar
reaction reacción
manufacturing fabricación
audit auditoría
flexible flexible
flexible flexibles
cat gato
producer productor
soil suelo
efficient eficaz
efficient eficiente
efficient eficientes
replace sustituir
angeles angeles
angeles ángeles
mention mencionar
vast inmensa
serves sirve
strongly firmemente
surgery cirugía
tend suelen
tend tienden
constant constante
constant constantes
automatically automáticamente
focused centrado
proceedings recurso
metres metros
supports apoya
defeated derrotado
defeated derrotados
designs diseños
infrastructure infraestructura
infrastructure infraestructuras
representation representación
visits visitas
carefully cuidadosamente
carefully detenidamente
prove demostrar
declared declarado
declared declaró
dream sueño
libraries bibliotecas
murder asesinato
painting pintura
organic ecológica
organic ecológicos
organic orgánica
organic orgánicos
collaboration colaboración
abroad abroad
liability responsabilidad
establishment creación
establishment establecimiento
establishment establishment
saint saint
emperor emperador
louis louis
brings lleva
flowers flores
feed piensos
planet planeta
spiritual espiritual
spiritual espirituales
priority prioridad
organizations organizaciones
distributed distribuida
distributed distribuido
breakfast desayuno
memorial memorial
risks riesgos
arrival llegada
sharing compartido
sharing compartir
sharing reparto
ben ben
ordinary ordinario
dinner cena
dinner cenar
monitor controlar
monitor monitor
monitor supervisar
industries industrias
lunch almuerzo
alexander alexander
rent alquiler
rent alquileres
component componente
familiar familiarizados
duke duque
mount monte
instruments instrumentos
newsletter boletín
answers respuestas
championships campeonato
championships campeonatos
fitted equipados
protected protegidos
implications implicaciones
evil mal
agriculture agricultura
villages aldeas
rome roma
bell campana
bell timbre
nick nick
mouth aftosa
mouth boca
mill mill
mill molino
harry harry
inspired inspirada
inspired inspirado
symptoms síntomas
doors puertas
statements declaraciones
perspective perspectiva
perspective perspectivas
unusual inusual
rain lluvia
rain lluvias
approval aprobación
ward ward
guests invitados
colleagues colegas
colleges colegios
nursing enfermería
literary literaria
literary literarias
literary literario
reception acogida
reception recepción
requirement exigencia
requirement requisito
fly volar
contracts contratos
sleep dormir
fiction ficción
initiatives iniciativas
vat iva
ocean océano
helpful útil
belief creencia
twelve doce
reducing reducción
reducing reducir
employee empleado
conclusion conclusión
newly recién
gay gay
gay gays
gay homosexuales
guy guy
alcohol alcohol
centuries siglos
tourism turismo
chamber cámara
fundamental fundamental
fundamental fundamentales
losing perder
losing perdiendo
suffering sufrimiento
arm brazo
seriously seriamente
grown crecido
doctors médicos
colours colorantes
colours colores
promoting promoción
promoting promover
bass lubina
replacement sustitución
roof tejado
indicate indican
indicate indicar
wave ola
wave oleada
recovery recuperación
assets activos
periods períodos
lights luces
efficiency eficacia
efficiency eficiencia
worse peor
engineer ingeniero
prepare preparar
depth profundidad
temporary temporal
temporary temporales
equally igualmente
moon luna
moon moon
armed armadas
armed armado
armed armados
composed compuesto
absence ausencia
autumn otoño
totally totalmente
tim mti
tim tim
interpretation interpretación
modified modificado
modified modificados
controls controles
controls controls
defeat derrota
defeat derrotar
seasons temporadas
studying estudiando
sheet hoja
diverse diversa
complaints quejas
complaints reclamaciones
gun pistola
careers carreras
qualifications cualificaciones
retirement jubilación
diet dieta
observed observado
limits límites
strange extraña
strange extraño
difficulty dificultad
commander comandante
demonstrate demostrar
demonstrate demuestran
moral moral
moral morales
jews judíos
bright brillante
installation instalación
cable cable
gene gen
gene genética
boston boston
thousand mil
respond responder
treaty tratado
blair blair
translation traducción
row corredor
rapidly rápidamente
wealth riqueza
responsibilities responsabilidades
lewis lewis
discovery descubrimiento
lessons lecciones
manual manual
whereas mientras
guardian guardian
guardian guardiana
guardian guardián
consultant consultor
governments gobiernos
fan admirador
fan fan
rescue rescate
junction empalme
heavily fuertemente
circle círculo
increases aumenta
increases aumentos
amazing asombroso
participate participar
warning advertencia
warning alerta
muslim musulmana
muslim musulmanas
muslim musulmanes
muslim musulmán
sheffield sheffield
swimming nadando
swimming nadar
naval naval
naval navales
speakers oradores
tasks tareas
scope alcance
comparison comparación
electrical eléctrica
electrical eléctricos
comfortable cómoda
comfortable cómodo
comfortable cómodos
officially oficialmente
abstract abstracta
abstract abstractas
abstract abstracto
abstract abstractos
paying pagando
column columna
cricket cricket
cricket críquet
respectively respectivamente
believes cree
councils consejos
tables tablas
orange naranja
orange naranjas
orange orange
texts textos
speaker orador
speaker oradora
eating comer
responses respuestas
bureau mesa
necessarily necesariamente
talks conversaciones
circuit circuito
loans préstamos
pub bar
interviews entrevistas
teach enseñar
catch captura
catch capturas
catch catch
characteristics características
ownership propiedad
extreme extrema
extreme extremas
attractive atractiva
attractive atractivas
attractive atractivo
attractive atractivos
indicated indicado
biography biografía
discover descubrir
imperial imperial
imperial imperiales
rapid rápida
rapid rápido
operational operativa
operational operativas
operational operativo
operational operativos
universal universal
universal universales
situations situaciones
illness enfermedad
favour favor
consumers consumidores
electricity electricidad
guard guardia
accordance conformidad
false falsa
false falsas
false falso
false falsos
commissioned encargado
councillor concejal
councillor consejero
frequency frecuencia
grey grey
grey gris
grey grises
grey lobos
hardware hardware
designated designado
designated designados
forget olvidar
outcome resultado
achievement consecución
achievement logro
sarah sarah
script guión
genetic genética
genetic genéticas
genetic genético
genetic genéticos
visible visible
visible visibles
intellectual intelectual
intellectual intelectuales
hidden oculta
hidden ocultas
hidden oculto
hidden ocultos
captured capturado
captured capturados
demands demandas
demands exigencias
incorporated incorporado
cathedral catedral
pennsylvania pensilvania
bond bond
bond bonos
yards astilleros
innovation innovación
daniel daniel
discussions debates
vary karlovy
vary variar
vary varían
kong kong
absolutely absolutamente
ministers ministros
gordon gordon
meanwhile entretanto
proportion porcentaje
proportion proporción
occasion ocasión
pounds libras
nights noches
universe universo
introduce introducir
generated generado
generated generados
impressive impresionante
impressive impresionantes
greatly enormemente
parks parks
parks parques
passengers pasajeros
dynamic dinámica
dynamic dinámico
tropical tropical
tropical tropicales
postgraduate posgrado
postgraduate postgrado
missed perdida
guarantee garantizar
guarantee garantía
regime régimen
graham graham
expanded ampliado
trail rastro
stream stream
jackson jackson
democracy democracia
scenes escenas
meets cumple
sectors sectores
votes votaciones
votes votantes
votes votos
cabinet gabinete
protein proteínas
explains explica
accompanied acompañado
premier premier
extend ampliar
headquarters sede
storm tormenta
instrument instrumento
willing dispuesta
willing dispuesto
willing dispuestos
federation federación
carbon carbono
minority minoritarias
minority minoría
concepts conceptos
narrow estrecho
handle manejar
buried enterrada
buried enterrado
midlands midlands
integration integración
francisco francisco
interior interior
passage pasaje
snow nieve
sum importe
sum suma
gender género
roger roger
fox fox
fox zorro
fox zorros
evolution evolución
linux linux
thoughts pensamientos
thoughts reflexiones
contributed contribuido
polish polaca
polish polaco
polish polacos
plastic plástico
exposure exposición
jane jane
parliamentary parlamentaria
parliamentary parlamentarias
parliamentary parlamentario
consent consentimiento
equality igualdad
worst peor
worst peores
smoking fumar
portfolio cartera
exception excepción
conventional convencional
conventional convencionales
formula fórmula
senate senado
corps cuerpo
supreme suprema
supreme supremo
movements movimientos
waters aguas
bound encadenado
understood comprendido
understood entendido
regiment regimiento
supporters defensores
supporters partidarios
sponsored patrocinada
sponsored patrocinado
variable variable
variable variables
flag bandera
flag pabellón
founder fundador
supplies abastecimiento
supplies suministro
supplies suministros
milk leche
savings ahorro
savings ahorros
newspapers periódicos
adam adam
occupied ocupada
occupied ocupado
occupied ocupados
baseball baloncesto
baseball gorras
fought luchado
exclusive exclusiva
exclusive exclusivas
exclusive exclusivo
exclusive zonas
olympics olimpiadas
styles estilos
hockey hockey
admitted admitido
saved salvado
wars guerras
consistent coherente
consistent coherentes
repair reparación
repair reparar
philip philip
ohio ohio
resort recurrir
resort recurso
diseases enfermedades
parallel paralela
parallel paralelas
parallel paralelo
spaces espacios
sixth sexta
sixth sexto
criticism crítica
criticism críticas
attitude actitud
worker trabajador
sam sam
coal carbón
illegal ilegal
illegal ilegales
restaurants restaurantes
decades decenios
decades décadas
prayer oración
locally localmente
dear estimados
newcastle newcastle
chemistry química
capture captura
collect recoger
collect recopilar
destruction destrucción
unlikely improbable
hole agujero
pure pura
pure puro
discrimination discriminación
ill enfermo
ill enfermos
leg pata
leg pierna
apparent aparente
kings magos
kings reyes
wireless inalámbrica
wireless inalámbricas
wireless inalámbricos
advisory consultivo
advisory consultivos
connections conexiones
resident residente
resident residentes
saving ahorro
saving salvar
abuse abuso
abuse abusos
bike moto
password contraseña
imagine imaginar
empty vacía
empty vacías
empty vacío
listening escuchando
engineers ingenieros
hospitals hospitales
howard howard
decline declive
decline descenso
releases comunicados
broadcasting radiodifusión
meat carne
lie mentira
olympic olímpicos
societies sociedades
consequences consecuencias
winners ganadores
winners vencedores
ford ford
birthday cumpleaños
scheduled prevista
victims víctimas
piano piano
furniture mobiliario
furniture muebles
rank rango
accounting contabilidad
accounting contable
accounting contables
valid válida
valid válidas
valid válido
valid válidos
steam vapor
sydney sidney
sydney sydney
anne anne
delighted encantado
operates opera
plane avión
arrive llegan
skill habilidad
decade decenio
decade década
alive viva
alive vivo
manufacturers fabricantes
salt sal
explanation explicación
clothing vestido
emotional emocional
emotional emocionales
worship culto
coastal costera
coastal costeras
interaction interacción
communist comunista
communist comunistas
occasions ocasiones
fat grasa
fat grasas
experimental experimental
experimental experimentales
assess evaluar
seminar seminario
intention intención
writes escribe
basketball baloncesto
amounts cantidades
amounts importes
heaven paraíso
lighting iluminación
proud orgullosa
proud orgulloso
proud orgullosos
satellite satélite
surprise sorpresa
contacts contactos
cook cocinar
cook cocinero
cook cook
margaret margaret
kevin kevin
spoken hablado
spoken intervenido
foods alimentos
foods foods
drinking potable
depends depende
sussex sussex
operators operadores
americans americanos
americans estadounidenses
americans norteamericanos
des des
compensation compensación
compensation indemnización
graduated graduada
sweden suecia
partnerships asociaciones
talent talento
talent talentos
gifts donaciones
gifts regalos
sugar azúcar
sugar sugar
complaint queja
complaint reclamaciones
complaint reclamación
charter carta
berlin berlín
republican republicana
republican republicano
republican republicanos
matthew mateo
racial racial
racial raciales
influenced influido
musicians músicos
dean dean
dean decano
anniversary aniversario
depression depresión
percentage porcentaje
salary salario
salary sueldo
rivers ríos
channels canales
nottingham nottingham
applicants solicitantes
assumed asumido
headed encabezada
inclusion inclusión
pensions pensiones
stored almacenados
comic cómic
comic cómica
comic cómicos
comic opereta
composition composición
equipped equipada
equipped equipados
earl conde
excellence excelencia
fail fail
investigate investigar
investigate investigue
masters amos
masters dueños
masters máster
dramatic dramática
dramatic dramáticas
dramatic dramático
dramatic dramáticos
tourist turística
tourist turísticas
tourist turístico
tourist turísticos
operator operador
ceremony ceremonia
flights vuelos
squad brigada
adventure aventura
documentation documentación
bars abogacía
bars bares
max max
suppliers proveedores
revised revisada
revised revisado
organized organizado
knowing sabiendo
sweet dulce
sweet dulces
francis francis
francis francisco
wins gane
arguments argumentos
pakistan pakistán
abandoned abandonado
abandoned abandonados
identification identificación
residence residencia
crossing cruce
crossing cruzar
google google
mechanism mecanismo
brilliant brillante
brilliant brillantes
arrested detenido
arrested detenidos
tomorrow mañana
brazil brasil
prevention prevención
produces produce
sending enviar
sending envío
kinds tipos
suite suite
tape trámites
georgia georgia
nurse enfermera
egypt egipto
harbour harbour
unions sindicatos
unions uniones
ray ray
ray rayo
automatic automática
automatic automático
non non
navigation navegación
conversion conversión
conversion reconversión
wheel rueda
wheel volante
shell cáscara
shell shell
roots raíces
islamic islámica
islamic islámico
islamic islámicos
varied variada
varied variadas
essex essex
legs patas
legs piernas
beer beer
beer cerveza
neil neil
associate asociar
critics críticos
aids sida
exposed expuestas
exposed expuestos
implement aplicar
preferred preferido
grace gracia
virus virus
sensitive delicado
sensitive sensible
sensitive sensibles
surrey surrey
concluded concluido
stable estable
stable estables
turkey pavo
turkey pavos
turkey turquía
don don
squadron escuadrón
childhood infancia
zero cero
suggestions sugerencias
boats barcos
terminal terminal
publisher editor
connect conectar
santa santa
plate plato
injuries heridos
injuries lesiones
infection infección
apple apple
apple manzana
poet poeta
requests peticiones
requests solicitudes
effectiveness efectividad
effectiveness eficacia
radical radical
radical radicales
invasion invasión
lands franceses
eligible elegibles
clothes ropa
mechanical mecánica
mechanical mecánicas
mechanical mecánico
mechanical mecánicos
sentence frase
sentence sentencia
attacked atacado
attacked atacados
briefly brevemente
socialist socialista
socialist socialistas
michigan michigan
miller miller
generate generan
generate generar
significance significado
lift levantar
dispute disputa
dispute órgano
anthony anthony
davis davis
statistical estadística
statistical estadístico
statistical estadísticos
disc disco
disc viñeta
directions direcciones
twin gemelas
inspection inspección
delivering facilitar
delivering garantizar
visitor visitante
alex alex
honour honor
oral oral
oral orales
reserved reservada
reserved reservado
reserved reservados
acceptable aceptable
acceptable aceptables
phd doctorado
iran irán
dialogue diálogo
pope papa
personally personalmente
constantly constantemente
surely ciertamente
surely seguramente
occupation ocupación
pace ritmo
heating calefacción
samples muestras
transmission transmisión
reliable fiable
reliable fiables
grid grid
millions millones
gospel evangelio
calendar calendario
layer capa
virtually prácticamente
blocks bloques
solar solar
solar solares
tennis tenis
damaged dañado
von von
demonstrated demostrado
biology biología
wishes deseos
korea corea
journals revistas
cardiff cardiff
happening ocurriendo
happening sucediendo
creek arroyo
hell infierno
branches ramas
adequate adecuada
adequate adecuados
potentially potencialmente
regeneration regeneración
dress vestir
ict tic
admission admisión
recycling reciclado
recycling reciclaje
experiment experimento
disk disco
consumption consumo
absolute absoluta
careful cuidado
gradually gradualmente
boxes cajas
discipline disciplina
grass grass
grass hierba
examine examinar
stones piedras
stones stones
losses pérdidas
illustrated ilustrado
bronze bronce
cornwall cornualles
cornwall cornwall
assessed evaluado
restoration restablecimiento
restoration restauración
restrictions restricciones
begun comenzado
begun empezado
begun iniciado
pleasure placer
couples parejas
patrick patrick
transition transición
deaths muertes
deaths muertos
naturally naturalmente
del del
threatened amenazados
flash flash
sand arena
sand sand
wet húmedas
acquisition adquisición
scoring puntuación
structural estructural
structural estructurales
paintings pinturas
iraqi iraquí
iraqi iraquíes
define definir
measured mide
nurses enfermeras
nurses enfermeros
nurses enfermería
parameters parámetros
tube tubo
documentary documental
documentary documentales
rejected rechazada
rejected rechazado
ban ban
ban prohibición
ban prohibir
dublin dublín
hampshire hampshire
concrete concreta
concrete concretas
concrete concretos
qualification cualificación
specification especificación
protocol protocolo
recordings grabaciones
promise promesa
exact exacta
exact exacto
voted votado
inhabitants habitantes
suffer sufren
suffer sufrir
witness testigo
witness testigos
removal eliminación
removal supresión
leicester leicester
replied contestado
comfort comodidad
comfort consuelo
indicates indica
mouse ratón
preparing preparación
preparing preparando
dec dec
alternatively alternativamente
frequent frecuente
frequent frecuentes
bone hueso
bone manzana
survive sobrevivir
devon devon
coaching coaching
manufacturer fabricante
conferences conferencias
habitat habitat
habitat hábitat
habitat hábitats
scholars eruditos
trustees administradores
trustees fideicomisarios
dancing bailar
dancing baile
choices opciones
painted pintado
injured heridas
injured heridos
princess princesa
banking bancaria
banking bancario
hardly apenas
smart inteligente
smart inteligentes
actors actores
actors agentes
mac mac
dependent dependientes
experiments experimentos
opens abre
champions campeones
albert albert
directive directiva
push push
toronto toronto
victorian victoriano
classroom aula
classroom aulas
theoretical teórica
theoretical teórico
theoretical teóricos
popularity popularidad
personality personalidad
compete competir
honours honores
battery batería
ann ann
cemetery cementerio
graduates graduados
graduates licenciados
placement colocación
accused acusado
accused acusados
enabled permitido
robin robin
possession posesión
poem poema
museums museos
campaigns campañas
norfolk norfolk
duration duración
smoke fumar
smoke humo
rice arroz
rice rice
origins orígenes
dna adn
massachusetts massachusetts
swedish sueca
swedish sueco
swedish suecos
assume asumir
widespread generalizada
prisoners presos
prisoners prisioneros
ethical ética
ethical éticas
ethical ético
ethical éticos
meal harina
meal harinas
profits beneficios
legend leyenda
moore moore
auto auto
poems poemas
heading rúbrica
walker walker
intervention intervención
commonwealth commonwealth
commonwealth mancomunidad
publish publicar
argue argumentar
random aleatoria
random aleatorias
random aleatorios
plc clp
symbol símbolo
voting votar
voting voto
trips viajes
actively activamente
flexibility flexibilidad
theories teorías
russell russell
expectations expectativas
greece grecia
informal informal
informal informales
venture venture
committees comisiones
committees comités
agreements acuerdos
profession profesión
destination destino
collective colectiva
collective colectivo
collective colectivos
pink rosa
pink rosas
hunt caza
hunt hunt
thames thames
thames támesis
pollution contaminación
producers productores
clark clark
colin colin
progressive progresista
progressive progresistas
progressive progresiva
progressive progresivo
exit salida
logic lógica
governance gobernanza
archaeological arqueológico
archaeological arqueológicos
joy alegría
departure partida
mathematical matemática
mathematical matemáticas
mathematical matemático
mathematical matemáticos
everyday cotidiana
everyday diaria
seed seed
seed semillas
pull pull
compliance cumplimiento
mining mineras
gary gary
sick enfermos
pride orgullo
pride pride
commissioner comisario
neck cuello
codes códigos
disabilities discapacidad
disabilities discapacidades
buses autobuses
thirty treinta
forth forth
forth sucesivamente
allen allen
supplier proveedor
ease aliviar
ease facilidad
rolling rolling
luck suerte
helen helen
helen helena
exercises ejercicios
bruce bruce
highlights destaca
updates actualiza
updates actualizaciones
weak débil
weak débiles
stuart stuart
chat charla
chat chat
furthermore además
thread hilo
surrounded rodeado
anderson anderson
excess exceso
crystal crystal
bedrooms dormitorios
environments entornos
psychological psicológica
psychological psicológicas
psychological psicológico
psychological psicológicos
hollywood hollywood
norman norman
phrase frase
asks insta
mixture mezcla
tunnel túnel
vulnerable vulnerable
vulnerable vulnerables
ethics ética
install instalar
jonathan jonathan
perfectly perfectamente
inn dci
inn inn
inn posada
islam islam
landing aterrizaje
routine rutina
routine rutinaria
christopher christopher
christopher cristóbal
emerging emergentes
hero héroe
mechanisms mecanismos
raw primas
eric eric
westminster westminster
kelly kelly
separated separados
disaster catástrofe
disaster desastre
hopes esperanzas
yard patio
yard yard
sheep ovejas
sheep ovino
harris harris
translated traducido
concentration concentración
jean jean
confirm confirmar
advantages ventajas
immigration inmigración
odd extraña
odd extraño
judges jueces
attitudes actitudes
ken ken
conversation conversación
brighton brighton
genuine auténtica
genuine verdadera
genuine verdadero
artistic artística
artistic artísticas
artistic artístico
artistic artísticos
legislative legislativa
legislative legislativas
legislative legislativo
priorities prioridades
adds añade
shore orilla
remarkable notable
packages paquetes
participated participado
participated participaron
accuracy exactitud
accuracy precisión
cattle ganado
crops cultivos
presentations presentaciones
philadelphia filadelfia
memories recuerdos
tone tono
spectrum espectro
spectrum spectrum
erm mtc
funny divertido
pet pet
noticed observado
distinction distinción
hunting caza
tribunal tribunal
instruction instrucción
molecular molecular
molecular moleculares
tip inclinar
tip punta
israeli israelí
