pergameno parchment
bretaro cabinet
bulko roll
inerta inert
plugebla arable
kompliceco abetment
sufoki choke
sufoki suppress
sufoki quell
sufoki suffocate
tendenca biased
tendenca tendentious
tendenca tendencious
anoncisto announcer
piedfingro toe
novico novice
itrio yttrium
haremo harem
obeema obedient
malbonkvalita inferior
nilono nylon
sesono sixth
anasa duck
orienti orient
adaptigo accommodation
smeraldo emerald
ozono ozone
asira assyrian
binoklo binoculars
aluno alum
abomena horrible
abomena nasty
abomena dismal
abomena hideous
abomena ghastly
abomena dreary
hajlo hail
nudelo noodles
markezo shed
markezo penthouse
lento lentil
petskribo petition
arlekeno jester
arlekeno buffoon
filtri filter
dando dude
dando dandy
dando fop
ksenono xenon
kojoto coyote
balasto ballast
preterlasi omit
preterlasi overlook
balailo broom
malegala different
ionika ionian
erariga deceptive
erariga fallacious
erariga delusive
imito imitation
akvumi water
akvumi irrigate
paliso stake
aroganteco presumption
aroganteco arrogance
asbesto asbestos
karakterizado characterization
berilio beryllium
disfali collapse
polko polka
hino hinny
frakturo fracture
urtiko nettle
seruro lock
rubeno ruby
kranko crank
bicikli cycle
disputi dispute
disputi argue
avanulo forward
akcelilo accelerator
prospekto prospectus
cirkulanta about
cirkulanta abroad
kroatujo croatia
oscilo oscillator
antitezo antithesis
ofensiva offensive
ofensiva aggressive
rekruti recruit
kulti worship
cezio caesium
armenujo armenia
abolicii abolish
abolicii abrogate
romiano roman
cikorio chicory
bordelo brothel
vinberejo vineyard
manifesti show
manifesti demonstrate
manifesti manifest
okono eighth
debito sale
debito demand
fandi melt
moralisto moralist
broso brush
kuiristino cook
hekato hecate
petalo petal
egoisma selfish
fonti spring
aberacio aberration
elparoli pronounce
amboso anvil
sonorilaro chimes
sonorilaro carillon
kvakera quaker
akrobata acrobatic
lakeo lackey
subtegmento attic
vigligi encourage
vigligi stimulate
visko mistletoe
luanto tenant
luanto renter
atuto trump
anilino aniline
sorbi absorb
sorbi sip
abono subscription
ostaro skeleton
eksceso excess
cidro cider
vendistino saleswoman
naiveco confidence
bario barium
aspirino aspirin
latekso latex
megero shrew
agronomia agricultural
stulte stupidly
sardino sardine
piki pick
piki sting
piki stab
