los the
perfil profile
anillo ring
imperio empire
estudiado studied
filosofía philosophy
esquina corner
rincón corner
worldwide worldwide
piel skin
aportación contribution
contribución contribution
causas causes
confianza confidence
combinación combination
cerca closely
estrechamente closely
leeds leeds
criminal criminal
criminales criminal
penal criminal
penales criminal
control monitoring
seguimiento monitoring
boda wedding
bodas wedding
miedo fear
temo fear
temor fear
actuando acting
cámara camera
judía jewish
judío jewish
judíos jewish
sesiones sessions
bloque block
bloquear block
vino wine
decidir decide
espera waiting
esperando waiting
conductor driver
piezas pieces
periódicamente regularly
regularmente regularly
gestionar manage
flow flow
flujo flow
existen exist
reconocido recognised
limitar limit
límite limit
investigación investigation
adoptado adopted
aprobado adopted
lesiones injury
módulo module
típicamente typically
organizada organised
organizado organised
ocurrir happen
tecnologías technologies
mercados markets
corporation corporation
cien hundred
empresarios employers
contenidas contained
milenio objectives
objetivos objectives
proyecto draft
representantes representatives
permiso permission
personas persons
salvaje wild
salvajes wild
silvestres wild
publicidad advertising
representan represent
representar represent
neto net
netos net
tradición tradition
secretas secret
secreto secret
secretos secret
bristol bristol
sostenible sustainable
calificación rating
respuesta reply
cárcel prison
prisión prison
aparcamiento parking
estacionamiento parking
mejora improvement
habitual usual
rusia russia
evaluación evaluation
resolución resolution
demostrado proved
lee lee
estructuras structures
explicar explain
yorkshire yorkshire
edward edward
medida measure
vender selling
venta selling
establecer establish
revelado revealed
candidato candidate
candidatos candidate
vinculada linked
reconocimiento recognition
totalmente entirely
versiones versions
universidades universities
taller workshop
milla mile
raras rare
adecuada proper
adecuado proper
arquitectura architecture
candidatos candidates
complot plot
hierro iron
iron iron
jardines gardens
microsoft microsoft
emergencia emergency
pensión pension
clean clean
limpia clean
limpias clean
limpio clean
limpios clean
zelanda zealand
zelandia zealand
posteriormente subsequently
monseñor bishop
obispo bishop
ministerio ministry
alan alan
integrada integrated
integrado integrated
frontera border
fronterizos border
adultos adults
suena sounds
eliminar remove
relacionadas connected
relacionados connected
comercial trading
congreso congress
reforma reform
equivalente equivalent
equivalentes equivalent
barcos ships
buques ships
carreteras roads
die die
morir die
mueren die
redes networks
reserva reserve
propietarios owners
tropas troops
galesa welsh
galeses welsh
galés welsh
obtener obtain
explorar explore
simon simon
ian ian
bandas bands
diferencias differences
profesionales professionals
marina marine
marino marine
marinos marine
dividida divided
dividido divided
divididos divided
geografía geography
consumidor consumer
consumidores consumer
regiones regions
motivos grounds
maravillosa wonderful
maravilloso wonderful
representante representative
regalo gift
expresado expressed
joseph joseph
nombre behalf
típica typical
típico typical
típicos typical
dominio domain
modalidad mode
modo mode
tripulación crew
tiendas shops
lector reader
confirmado confirmed
confirmó confirmed
inteligencia intelligence
revolución revolution
amplia broad
amplio broad
aportaciones input
aportación input
dificultades difficulties
roto broken
sexo sex
sexual sex
oposición opposition
afe era
eei era
era era
época era
dispositivo device
currículum curriculum
gobernador governor
razas races
conduce leads
lleva leads
williams williams
acero steel
foto photo
ordenado ordered
lados sides
partes sides
determinar determine
papeles roles
circulación highway
cabello hair
pelo hair
liverpool liverpool
enterprise enterprise
temperatura temperature
drama drama
definición definition
certificado certificate
almacenamiento storage
electric electric
eléctrico electric
eléctricos electric
funcionar operate
operar operate
examen examination
aparentemente apparently
factor factor
desgraciadamente unfortunately
lamentablemente unfortunately
institución institution
póker poker
principio principle
comúnmente commonly
audio audio
argumento argument
razonable reasonable
razonables reasonable
sugiere suggests
ganador winner
vencedor winner
latina latin
visitar visiting
beber drink
bebida drink
bebidas drink
accesible accessible
accesibles accessible
liberal liberal
liberales liberal
existencia existence
tarde afternoon
títulos titles
hablando speaking
implicación involvement
participación involvement
comienza begins
empieza begins
discapacidad disability
directrices guidelines
orientaciones guidelines
posiciones positions
chicago chicago
apasionante exciting
listas lists
estima estimated
estimado estimated
densidad density
esperar wait
semanal weekly
semanales weekly
weekly weekly
ataques attacks
atentados attacks
componentes components
pack pack
propuesta proposal
flota fleet
debatido discussed
oro golden
violencia violence
mantenido maintained
fomento promotion
promoción promotion
directores directors
financiado funded
financiados funded
estrategias strategies
patrón pattern
pauta pattern
brothers brothers
hermanos brothers
lehman brothers
departamentos departments
golf golf
pop pop
mejora improving
mejorar improving
bob bob
informado informed
informados informed
corona crown
crown crown
alivio relief
socorro relief
vital vital
describir describe
poner putting
bancos banks
plataforma platform
pilot pilot
piloto pilot
reducción reduction
iglesias churches
voluntarios volunteers
posterior subsequent
posteriores subsequent
stephen stephen
elecciones elections
participación participation
experto expert
expertos expert
barrio quarter
cuarto quarter
trimestre quarter
scott scott
error error
medievo ages
visitado visited
visitó visited
controlada controlled
controlado controlled
florida florida
criterios criteria
comer eat
dave dave
fashion fashion
moda fashion
invitado guest
mensajes messages
bird bird
reglamento regulation
regulación regulation
zona zone
jim jim
split split
ciudades towns
matemáticas mathematics
templo temple
muros walls
walls walls
favorita favourite
favorito favourite
favoritos favourite
menú menu
franco frank
francos frank
frank frank
amarilla yellow
amarillas yellow
amarillo yellow
botón button
biblia bible
colmo height
lectores readers
autores authors
cadena chain
evidente obvious
obvio obvious
conducta conduct
pacífico pacific
ciudadanos citizens
millones billion
amenaza threat
conde count
contar count
fotografías photographs
caída drop
gota drop
accidente accident
accidentes accident
intentos attempts
informática computers
ordenadores computers
explicado explained
poesía poetry
facultad faculty
negativa negative
negativas negative
negativo negative
negativos negative
motor motor
solución settlement
relación regard
respecto regard
victoria victoria
asia asia
objetivos targets
subrayar stress
sólida solid
sólido solid
sólidos solid
cocina kitchen
origen origin
inmediata immediate
inmediatas immediate
inmediato immediate
formados trained
investigadores researchers
sufrido suffered
billetes tickets
entradas tickets
medalla medal
pesca fishing
sabe knows
designación appointment
nombramiento appointment
deuda debt
fantástica fantastic
fantástico fantastic
torneo tournament
jubiladas retired
jubilado retired
jubilados retired
adquirida acquired
adquirido acquired
adquiridos acquired
brian brian
saludable healthy
sana healthy
evidentemente obviously
obviamente obviously
estadio stadium
paisaje landscape
panorama landscape
comparte shares
soldados soldiers
cielo sky
sky sky
buscado sought
moción motion
perder lose
enfoques approaches
planteamientos approaches
programación programming
calle streets
calles streets
info info
lenta slow
lento slow
vacaciones holidays
cobertura coverage
comprado purchased
relativa relative
cita quote
citar quote
residenciales residential
ocio leisure
interactiva interactive
interactivo interactive
interactivos interactive
restaurante restaurant
restaurantes restaurant
desconocido unknown
desconocidos unknown
virginia virginia
consideración consideration
licencia licence
permiso licence
crisis crisis
falls falls
montaña mountains
montañas mountains
ultramar overseas
archivo archive
virtual virtual
virtuales virtual
sustancial substantial
sustanciales substantial
agrícola agricultural
agrícolas agricultural
instalado installed
instalados installed
etapas stages
fases stages
escritores writers
conductores drivers
marcha drivers
bienestar welfare
suficiente sufficient
suficientes sufficient
minorista retail
minoristas retail
pendientes outstanding
desaparecidas missing
desaparecidos missing
masiva massive
combinación mix
mezcla mix
reflejan reflect
reflejar reflect
reflexionar reflect
enemigo enemy
mina mine
caro expensive
caros expensive
adecuadamente properly
correctamente properly
debidamente properly
jan jan
méxico mexico
sexual sexual
sexuales sexual
posibilidad possibility
apartado paragraph
párrafo paragraph
valiosa valuable
valiosas valuable
valioso valuable
obligaciones duties
reporting reporting
mapas maps
objetivo objective
contrario opposite
aparatos devices
dispositivos devices
kent kent
secuencia sequence
asiática asian
asiático asian
asiáticos asian
café coffee
wear wear
cantante singer
cualificada qualified
cualificados qualified
creció grew
presentado submitted
tribunales courts
funcionarios officials
quinta fifth
quinto fifth
brecha gap
categorías categories
alma soul
soul soul
interfaz interface
étnica ethnic
étnicas ethnic
étnico ethnic
étnicos ethnic
remotas remote
ayuntamiento municipality
municipio municipality
hechos facts
talleres workshops
máquinas machines
representa represents
gasto spending
gastos spending
magia magic
mágica magic
transferido transferred
comedia comedy
aprendido learned
rutas routes
blandas soft
indicativo soft
suave soft
desafíos challenges
retos challenges
reputación reputation
independencia independence
colecciones collections
marca marks
marks marks
territorio territory
motores engines
considerablemente significantly
significativamente significantly
barata cheap
barato cheap
baratos cheap
ópera opera
agricultores farmers
clásica classical
clásico classical
clásicos classical
preparación preparation
hipoteca mortgage
hipotecario mortgage
hipotecarios mortgage
implica involves
fort fort
colmar fill
llenar fill
laboratorio laboratory
empleador employer
empresario employer
ruido noise
matar kill
señal signal
concierto concert
alianza alliance
dormitorio bedroom
adjunto deputy
viceministro deputy
aportaciones contributions
ayudas contributions
contribuciones contributions
fotografías photos
fotos photos
complace pleased
centenares hundreds
cientos hundreds
aspecto aspect
perros dogs
capaces capable
capaz capable
científicas scientists
científicos scientists
joe joe
contribuir contribute
palacio palace
ingresos revenue
premisas premises
recomendaciones recommendations
módulos modules
taylor taylor
peligrosa dangerous
peligrosas dangerous
peligroso dangerous
peligrosos dangerous
resistencia resistance
contraste contrast
ala wing
incidente incident
hoteles hotels
imposible impossible
describe describes
expansión expansion
cabeza heads
jefes heads
considerando considering
pico peak
bañera bath
baño bath
hincapié emphasis
énfasis emphasis
belleza beauty
huelga strike
strike strike
super super
súper super
agenda agenda
sentar lay
ayer yesterday
personal personnel
escapar escape
elizabeth elizabeth
isabel elizabeth
wilson wilson
compra buying
comprar buying
instrucciones instructions
instrucción instructions
rugby rugby
contratación recruitment
reclutamiento recruitment
constitución constitution
colinas hills
innovador innovative
innovadora innovative
innovadoras innovative
innovadores innovative
diversidad diversity
fruit fruit
fruta fruit
frutas fruit
disponibilidad availability
bear bear
mensual monthly
mensuales monthly
sesión sitting
mejoras improvements
recomendar recommend
reacción reaction
fabricación manufacturing
auditoría audit
flexible flexible
flexibles flexible
gato cat
productor producer
suelo soil
eficaz efficient
eficiente efficient
eficientes efficient
sustituir replace
angeles angeles
ángeles angeles
mencionar mention
inmensa vast
sirve serves
firmemente strongly
cirugía surgery
suelen tend
tienden tend
constante constant
constantes constant
automáticamente automatically
centrado focused
recurso proceedings
metros metres
apoya supports
derrotado defeated
derrotados defeated
diseños designs
infraestructura infrastructure
infraestructuras infrastructure
representación representation
visitas visits
cuidadosamente carefully
detenidamente carefully
demostrar prove
declarado declared
declaró declared
sueño dream
bibliotecas libraries
asesinato murder
pintura painting
ecológica organic
ecológicos organic
orgánica organic
orgánicos organic
colaboración collaboration
abroad abroad
responsabilidad liability
creación establishment
establecimiento establishment
establishment establishment
saint saint
emperador emperor
louis louis
lleva brings
flores flowers
piensos feed
planeta planet
espiritual spiritual
espirituales spiritual
prioridad priority
organizaciones organizations
distribuida distributed
distribuido distributed
desayuno breakfast
memorial memorial
riesgos risks
llegada arrival
compartido sharing
compartir sharing
reparto sharing
ben ben
ordinario ordinary
cena dinner
cenar dinner
controlar monitor
monitor monitor
supervisar monitor
industrias industries
almuerzo lunch
alexander alexander
alquiler rent
alquileres rent
componente component
familiarizados familiar
duque duke
monte mount
instrumentos instruments
boletín newsletter
respuestas answers
campeonato championships
campeonatos championships
equipados fitted
protegidos protected
implicaciones implications
mal evil
agricultura agriculture
aldeas villages
roma rome
campana bell
timbre bell
nick nick
aftosa mouth
boca mouth
mill mill
molino mill
harry harry
inspirada inspired
inspirado inspired
síntomas symptoms
puertas doors
declaraciones statements
perspectiva perspective
perspectivas perspective
inusual unusual
lluvia rain
lluvias rain
aprobación approval
ward ward
invitados guests
colegas colleagues
colegios colleges
enfermería nursing
literaria literary
literarias literary
literario literary
acogida reception
recepción reception
exigencia requirement
requisito requirement
volar fly
contratos contracts
dormir sleep
ficción fiction
iniciativas initiatives
iva vat
océano ocean
útil helpful
creencia belief
doce twelve
reducción reducing
reducir reducing
empleado employee
conclusión conclusion
recién newly
gay gay
gays gay
homosexuales gay
guy guy
alcohol alcohol
siglos centuries
turismo tourism
cámara chamber
fundamental fundamental
fundamentales fundamental
perder losing
perdiendo losing
sufrimiento suffering
brazo arm
seriamente seriously
crecido grown
médicos doctors
colorantes colours
colores colours
promoción promoting
promover promoting
lubina bass
sustitución replacement
tejado roof
indican indicate
indicar indicate
ola wave
oleada wave
recuperación recovery
activos assets
períodos periods
luces lights
eficacia efficiency
eficiencia efficiency
peor worse
ingeniero engineer
preparar prepare
profundidad depth
temporal temporary
temporales temporary
igualmente equally
luna moon
moon moon
armadas armed
armado armed
armados armed
compuesto composed
ausencia absence
otoño autumn
totalmente totally
mti tim
tim tim
interpretación interpretation
modificado modified
modificados modified
controles controls
controls controls
derrota defeat
derrotar defeat
temporadas seasons
estudiando studying
hoja sheet
diversa diverse
quejas complaints
reclamaciones complaints
pistola gun
carreras careers
cualificaciones qualifications
jubilación retirement
dieta diet
observado observed
límites limits
extraña strange
extraño strange
dificultad difficulty
comandante commander
demostrar demonstrate
demuestran demonstrate
moral moral
morales moral
judíos jews
brillante bright
instalación installation
cable cable
gen gene
genética gene
boston boston
mil thousand
responder respond
tratado treaty
blair blair
traducción translation
corredor row
rápidamente rapidly
riqueza wealth
responsabilidades responsibilities
lewis lewis
descubrimiento discovery
lecciones lessons
manual manual
mientras whereas
guardian guardian
guardiana guardian
guardián guardian
consultor consultant
gobiernos governments
admirador fan
fan fan
rescate rescue
empalme junction
fuertemente heavily
círculo circle
aumenta increases
aumentos increases
asombroso amazing
participar participate
advertencia warning
alerta warning
musulmana muslim
musulmanas muslim
musulmanes muslim
musulmán muslim
sheffield sheffield
nadando swimming
nadar swimming
naval naval
navales naval
oradores speakers
tareas tasks
alcance scope
comparación comparison
eléctrica electrical
eléctricos electrical
cómoda comfortable
cómodo comfortable
cómodos comfortable
oficialmente officially
abstracta abstract
abstractas abstract
abstracto abstract
abstractos abstract
pagando paying
columna column
cricket cricket
críquet cricket
respectivamente respectively
cree believes
consejos councils
tablas tables
naranja orange
naranjas orange
orange orange
textos texts
orador speaker
oradora speaker
comer eating
respuestas responses
mesa bureau
necesariamente necessarily
conversaciones talks
circuito circuit
préstamos loans
bar pub
entrevistas interviews
enseñar teach
captura catch
capturas catch
catch catch
características characteristics
propiedad ownership
extrema extreme
extremas extreme
atractiva attractive
atractivas attractive
atractivo attractive
atractivos attractive
indicado indicated
biografía biography
descubrir discover
imperial imperial
imperiales imperial
rápida rapid
rápido rapid
operativa operational
operativas operational
operativo operational
operativos operational
universal universal
universales universal
situaciones situations
enfermedad illness
favor favour
consumidores consumers
electricidad electricity
guardia guard
conformidad accordance
falsa false
falsas false
falso false
falsos false
encargado commissioned
concejal councillor
consejero councillor
frecuencia frequency
grey grey
gris grey
grises grey
lobos grey
hardware hardware
designado designated
designados designated
olvidar forget
resultado outcome
consecución achievement
logro achievement
sarah sarah
guión script
genética genetic
genéticas genetic
genético genetic
genéticos genetic
visible visible
visibles visible
intelectual intellectual
intelectuales intellectual
oculta hidden
ocultas hidden
oculto hidden
ocultos hidden
capturado captured
capturados captured
demandas demands
exigencias demands
incorporado incorporated
catedral cathedral
pensilvania pennsylvania
bond bond
bonos bond
astilleros yards
innovación innovation
daniel daniel
debates discussions
karlovy vary
variar vary
varían vary
kong kong
absolutamente absolutely
ministros ministers
gordon gordon
entretanto meanwhile
porcentaje proportion
proporción proportion
ocasión occasion
libras pounds
noches nights
universo universe
introducir introduce
generado generated
generados generated
impresionante impressive
impresionantes impressive
enormemente greatly
parks parks
parques parks
pasajeros passengers
dinámica dynamic
dinámico dynamic
tropical tropical
tropicales tropical
posgrado postgraduate
postgrado postgraduate
perdida missed
garantizar guarantee
garantía guarantee
régimen regime
graham graham
ampliado expanded
rastro trail
stream stream
jackson jackson
democracia democracy
escenas scenes
cumple meets
sectores sectors
votaciones votes
votantes votes
votos votes
gabinete cabinet
proteínas protein
explica explains
acompañado accompanied
premier premier
ampliar extend
sede headquarters
tormenta storm
instrumento instrument
dispuesta willing
dispuesto willing
dispuestos willing
federación federation
carbono carbon
minoritarias minority
minoría minority
conceptos concepts
estrecho narrow
manejar handle
enterrada buried
enterrado buried
midlands midlands
integración integration
francisco francisco
interior interior
pasaje passage
nieve snow
importe sum
suma sum
género gender
roger roger
fox fox
zorro fox
zorros fox
evolución evolution
linux linux
pensamientos thoughts
reflexiones thoughts
contribuido contributed
polaca polish
polaco polish
polacos polish
plástico plastic
exposición exposure
jane jane
parlamentaria parliamentary
parlamentarias parliamentary
parlamentario parliamentary
consentimiento consent
igualdad equality
peor worst
peores worst
fumar smoking
cartera portfolio
excepción exception
convencional conventional
convencionales conventional
fórmula formula
senado senate
cuerpo corps
suprema supreme
supremo supreme
movimientos movements
aguas waters
encadenado bound
comprendido understood
entendido understood
regimiento regiment
defensores supporters
partidarios supporters
patrocinada sponsored
patrocinado sponsored
variable variable
variables variable
bandera flag
pabellón flag
fundador founder
abastecimiento supplies
suministro supplies
suministros supplies
leche milk
ahorro savings
ahorros savings
periódicos newspapers
adam adam
ocupada occupied
ocupado occupied
ocupados occupied
baloncesto baseball
gorras baseball
luchado fought
exclusiva exclusive
exclusivas exclusive
exclusivo exclusive
zonas exclusive
olimpiadas olympics
estilos styles
hockey hockey
admitido admitted
salvado saved
guerras wars
coherente consistent
coherentes consistent
reparación repair
reparar repair
philip philip
ohio ohio
recurrir resort
recurso resort
enfermedades diseases
paralela parallel
paralelas parallel
paralelo parallel
espacios spaces
sexta sixth
sexto sixth
crítica criticism
críticas criticism
actitud attitude
trabajador worker
sam sam
carbón coal
ilegal illegal
ilegales illegal
restaurantes restaurants
decenios decades
décadas decades
oración prayer
localmente locally
estimados dear
newcastle newcastle
química chemistry
captura capture
recoger collect
recopilar collect
destrucción destruction
improbable unlikely
agujero hole
pura pure
puro pure
discriminación discrimination
enfermo ill
enfermos ill
pata leg
pierna leg
aparente apparent
magos kings
reyes kings
inalámbrica wireless
inalámbricas wireless
inalámbricos wireless
consultivo advisory
consultivos advisory
conexiones connections
residente resident
residentes resident
ahorro saving
salvar saving
abuso abuse
abusos abuse
moto bike
contraseña password
imaginar imagine
vacía empty
vacías empty
vacío empty
escuchando listening
ingenieros engineers
hospitales hospitals
howard howard
declive decline
descenso decline
comunicados releases
radiodifusión broadcasting
carne meat
mentira lie
olímpicos olympic
sociedades societies
consecuencias consequences
ganadores winners
vencedores winners
ford ford
cumpleaños birthday
prevista scheduled
víctimas victims
piano piano
mobiliario furniture
muebles furniture
rango rank
contabilidad accounting
contable accounting
contables accounting
válida valid
válidas valid
válido valid
válidos valid
vapor steam
sidney sydney
sydney sydney
anne anne
encantado delighted
opera operates
avión plane
llegan arrive
habilidad skill
decenio decade
década decade
viva alive
vivo alive
fabricantes manufacturers
sal salt
explicación explanation
vestido clothing
emocional emotional
emocionales emotional
culto worship
costera coastal
costeras coastal
interacción interaction
comunista communist
comunistas communist
ocasiones occasions
grasa fat
grasas fat
experimental experimental
experimentales experimental
evaluar assess
seminario seminar
intención intention
escribe writes
baloncesto basketball
cantidades amounts
importes amounts
paraíso heaven
iluminación lighting
orgullosa proud
orgulloso proud
orgullosos proud
satélite satellite
sorpresa surprise
contactos contacts
cocinar cook
cocinero cook
cook cook
margaret margaret
kevin kevin
hablado spoken
intervenido spoken
alimentos foods
foods foods
potable drinking
depende depends
sussex sussex
operadores operators
americanos americans
estadounidenses americans
norteamericanos americans
des des
compensación compensation
indemnización compensation
graduada graduated
suecia sweden
asociaciones partnerships
talento talent
talentos talent
donaciones gifts
regalos gifts
azúcar sugar
sugar sugar
queja complaint
reclamaciones complaint
reclamación complaint
carta charter
berlín berlin
republicana republican
republicano republican
republicanos republican
mateo matthew
racial racial
raciales racial
influido influenced
músicos musicians
dean dean
decano dean
aniversario anniversary
depresión depression
porcentaje percentage
salario salary
sueldo salary
ríos rivers
canales channels
nottingham nottingham
solicitantes applicants
asumido assumed
encabezada headed
inclusión inclusion
pensiones pensions
almacenados stored
cómic comic
cómica comic
cómicos comic
opereta comic
composición composition
equipada equipped
equipados equipped
conde earl
excelencia excellence
fail fail
investigar investigate
investigue investigate
amos masters
dueños masters
máster masters
dramática dramatic
dramáticas dramatic
dramático dramatic
dramáticos dramatic
turística tourist
turísticas tourist
turístico tourist
turísticos tourist
operador operator
ceremonia ceremony
vuelos flights
brigada squad
aventura adventure
documentación documentation
abogacía bars
bares bars
max max
proveedores suppliers
revisada revised
revisado revised
organizado organized
sabiendo knowing
dulce sweet
dulces sweet
francis francis
francisco francis
gane wins
argumentos arguments
pakistán pakistan
abandonado abandoned
abandonados abandoned
identificación identification
residencia residence
cruce crossing
cruzar crossing
google google
mecanismo mechanism
brillante brilliant
brillantes brilliant
detenido arrested
detenidos arrested
mañana tomorrow
brasil brazil
prevención prevention
produce produces
enviar sending
envío sending
tipos kinds
suite suite
trámites tape
georgia georgia
enfermera nurse
egipto egypt
harbour harbour
sindicatos unions
uniones unions
ray ray
rayo ray
automática automatic
automático automatic
non non
navegación navigation
conversión conversion
reconversión conversion
rueda wheel
volante wheel
cáscara shell
shell shell
raíces roots
islámica islamic
islámico islamic
islámicos islamic
variada varied
variadas varied
essex essex
patas legs
piernas legs
beer beer
cerveza beer
neil neil
asociar associate
críticos critics
sida aids
expuestas exposed
expuestos exposed
aplicar implement
preferido preferred
gracia grace
virus virus
delicado sensitive
sensible sensitive
sensibles sensitive
surrey surrey
concluido concluded
estable stable
estables stable
pavo turkey
pavos turkey
turquía turkey
don don
escuadrón squadron
infancia childhood
cero zero
sugerencias suggestions
barcos boats
terminal terminal
editor publisher
conectar connect
santa santa
plato plate
heridos injuries
lesiones injuries
infección infection
apple apple
manzana apple
poeta poet
peticiones requests
solicitudes requests
efectividad effectiveness
eficacia effectiveness
radical radical
radicales radical
invasión invasion
franceses lands
elegibles eligible
ropa clothes
mecánica mechanical
mecánicas mechanical
mecánico mechanical
mecánicos mechanical
frase sentence
sentencia sentence
atacado attacked
atacados attacked
brevemente briefly
socialista socialist
socialistas socialist
michigan michigan
miller miller
generan generate
generar generate
significado significance
levantar lift
disputa dispute
órgano dispute
anthony anthony
davis davis
estadística statistical
estadístico statistical
estadísticos statistical
disco disc
viñeta disc
direcciones directions
gemelas twin
inspección inspection
facilitar delivering
garantizar delivering
visitante visitor
alex alex
honor honour
oral oral
orales oral
reservada reserved
reservado reserved
reservados reserved
aceptable acceptable
aceptables acceptable
doctorado phd
irán iran
diálogo dialogue
papa pope
personalmente personally
constantemente constantly
ciertamente surely
seguramente surely
ocupación occupation
ritmo pace
calefacción heating
muestras samples
transmisión transmission
fiable reliable
fiables reliable
grid grid
millones millions
evangelio gospel
calendario calendar
capa layer
prácticamente virtually
bloques blocks
solar solar
solares solar
tenis tennis
dañado damaged
von von
demostrado demonstrated
biología biology
deseos wishes
corea korea
revistas journals
cardiff cardiff
ocurriendo happening
sucediendo happening
arroyo creek
infierno hell
ramas branches
adecuada adequate
adecuados adequate
potencialmente potentially
regeneración regeneration
vestir dress
tic ict
admisión admission
reciclado recycling
reciclaje recycling
experimento experiment
disco disk
consumo consumption
absoluta absolute
cuidado careful
gradualmente gradually
cajas boxes
disciplina discipline
grass grass
hierba grass
examinar examine
piedras stones
stones stones
pérdidas losses
ilustrado illustrated
bronce bronze
cornualles cornwall
cornwall cornwall
evaluado assessed
restablecimiento restoration
restauración restoration
restricciones restrictions
comenzado begun
empezado begun
iniciado begun
placer pleasure
parejas couples
patrick patrick
transición transition
muertes deaths
muertos deaths
naturalmente naturally
del del
amenazados threatened
flash flash
arena sand
sand sand
húmedas wet
adquisición acquisition
puntuación scoring
estructural structural
estructurales structural
pinturas paintings
iraquí iraqi
iraquíes iraqi
definir define
mide measured
enfermeras nurses
enfermeros nurses
enfermería nurses
parámetros parameters
tubo tube
documental documentary
documentales documentary
rechazada rejected
rechazado rejected
ban ban
prohibición ban
prohibir ban
dublín dublin
hampshire hampshire
concreta concrete
concretas concrete
concretos concrete
cualificación qualification
especificación specification
protocolo protocol
grabaciones recordings
promesa promise
exacta exact
exacto exact
votado voted
habitantes inhabitants
sufren suffer
sufrir suffer
testigo witness
testigos witness
eliminación removal
supresión removal
leicester leicester
contestado replied
comodidad comfort
consuelo comfort
indica indicates
ratón mouse
preparación preparing
preparando preparing
dec dec
alternativamente alternatively
frecuente frequent
frecuentes frequent
hueso bone
manzana bone
sobrevivir survive
devon devon
coaching coaching
fabricante manufacturer
conferencias conferences
habitat habitat
hábitat habitat
hábitats habitat
eruditos scholars
administradores trustees
fideicomisarios trustees
bailar dancing
baile dancing
opciones choices
pintado painted
heridas injured
heridos injured
princesa princess
bancaria banking
bancario banking
apenas hardly
inteligente smart
inteligentes smart
actores actors
agentes actors
mac mac
dependientes dependent
experimentos experiments
abre opens
campeones champions
albert albert
directiva directive
push push
toronto toronto
victoriano victorian
aula classroom
aulas classroom
teórica theoretical
teórico theoretical
teóricos theoretical
popularidad popularity
personalidad personality
competir compete
honores honours
batería battery
ann ann
cementerio cemetery
graduados graduates
licenciados graduates
colocación placement
acusado accused
acusados accused
permitido enabled
robin robin
posesión possession
poema poem
museos museums
campañas campaigns
norfolk norfolk
duración duration
fumar smoke
humo smoke
arroz rice
rice rice
orígenes origins
adn dna
massachusetts massachusetts
sueca swedish
sueco swedish
suecos swedish
asumir assume
generalizada widespread
presos prisoners
prisioneros prisoners
ética ethical
éticas ethical
ético ethical
éticos ethical
harina meal
harinas meal
beneficios profits
leyenda legend
moore moore
auto auto
poemas poems
rúbrica heading
walker walker
intervención intervention
commonwealth commonwealth
mancomunidad commonwealth
publicar publish
argumentar argue
aleatoria random
aleatorias random
aleatorios random
clp plc
símbolo symbol
votar voting
voto voting
viajes trips
activamente actively
flexibilidad flexibility
teorías theories
russell russell
expectativas expectations
grecia greece
informal informal
informales informal
venture venture
comisiones committees
comités committees
acuerdos agreements
profesión profession
destino destination
colectiva collective
colectivo collective
colectivos collective
rosa pink
rosas pink
caza hunt
hunt hunt
thames thames
támesis thames
contaminación pollution
productores producers
clark clark
colin colin
progresista progressive
progresistas progressive
progresiva progressive
progresivo progressive
salida exit
lógica logic
gobernanza governance
arqueológico archaeological
arqueológicos archaeological
alegría joy
partida departure
matemática mathematical
matemáticas mathematical
matemático mathematical
matemáticos mathematical
cotidiana everyday
diaria everyday
seed seed
semillas seed
pull pull
cumplimiento compliance
mineras mining
gary gary
enfermos sick
orgullo pride
pride pride
comisario commissioner
cuello neck
códigos codes
discapacidad disabilities
discapacidades disabilities
autobuses buses
treinta thirty
forth forth
sucesivamente forth
allen allen
proveedor supplier
aliviar ease
facilidad ease
rolling rolling
suerte luck
helen helen
helena helen
ejercicios exercises
bruce bruce
destaca highlights
actualiza updates
actualizaciones updates
débil weak
débiles weak
stuart stuart
charla chat
chat chat
además furthermore
hilo thread
rodeado surrounded
anderson anderson
exceso excess
crystal crystal
dormitorios bedrooms
entornos environments
psicológica psychological
psicológicas psychological
psicológico psychological
psicológicos psychological
hollywood hollywood
norman norman
frase phrase
insta asks
mezcla mixture
túnel tunnel
vulnerable vulnerable
vulnerables vulnerable
ética ethics
instalar install
jonathan jonathan
perfectamente perfectly
dci inn
inn inn
posada inn
islam islam
aterrizaje landing
rutina routine
rutinaria routine
christopher christopher
cristóbal christopher
emergentes emerging
héroe hero
mecanismos mechanisms
primas raw
eric eric
westminster westminster
kelly kelly
separados separated
catástrofe disaster
desastre disaster
esperanzas hopes
patio yard
yard yard
ovejas sheep
ovino sheep
harris harris
traducido translated
concentración concentration
jean jean
confirmar confirm
ventajas advantages
inmigración immigration
extraña odd
extraño odd
jueces judges
actitudes attitudes
ken ken
conversación conversation
brighton brighton
auténtica genuine
verdadera genuine
verdadero genuine
artística artistic
artísticas artistic
artístico artistic
artísticos artistic
legislativa legislative
legislativas legislative
legislativo legislative
prioridades priorities
añade adds
orilla shore
notable remarkable
paquetes packages
participado participated
participaron participated
exactitud accuracy
precisión accuracy
ganado cattle
cultivos crops
presentaciones presentations
filadelfia philadelphia
recuerdos memories
tono tone
espectro spectrum
spectrum spectrum
mtc erm
divertido funny
pet pet
observado noticed
distinción distinction
caza hunting
tribunal tribunal
instrucción instruction
molecular molecular
moleculares molecular
inclinar tip
punta tip
israelí israeli
