storage lagerung
space space
physics physik
phd doktorgrad
aircraft aircraft
dramatic dramatische
engagement engagements
laws gesetze
standing ständige
property property
dispute streit
stadium stadions
personality rechtspersönlichkeit
funds fonds
albert albert
heart herzen
hamilton hamilton
churches kirchen
theatre theater
swedish schwedische
factory fabrik
diagnosis diagnose
sat saß
leader führer
natural natürlichen
friends freunden
material material
thus somit
equipment ausrüstung
overseas übersee
foundation stiftung
develop entwickeln
majority mehrheit
bell klingel
hundreds hunderten
administration administration
documentation dokumentation
cooking kochen
cabinet kabinett
individual einzelnen
teacher lehrer
copies exemplare
title titel
sport sports
consequences folgen
proposed vorgeschlagene
field amselfeld
democracy demokratie
border border
committee ausschuß
railway railway
reform reform
italy italien
for seit
driving treibende
visits besuche
postgraduate postgradualen
hearing anhörung
photograph foto
police polizeilichen
purpose zweck
service dienstes
colours farben
catalogue katalog
county grafschaft
spanish spanische
legend sage
economic wirtschaft
anne anne
symbol symbol
solid soliden
external auswärtigen
centre beobachtungsstelle
lord lord
engines motoren
historic historischen
discussions diskussionen
claim behaupten
principles grundsätze
way weise
circumstances umständen
discipline haushaltsdisziplin
protocol protokolls
cold kalten
critical kritische
protect schutz
brown braunen
chinese chinesischen
constant ständige
toys spielzeug
actions aktionen
small small
english englischen
immigration zuwanderung
nick nick
rare seltene
schools schulen
translated übersetzt
abuse missbrauch
assess beurteilen
birth geburt
communication kommunikation
strange seltsam
green grüne
community gemeinschaft
surveys erhebungen
historical historische
edinburgh edinburgh
proposals vorschläge
decades jahrzehnten
iron eisernen
independence unabhängigkeit
exclusively ausschließlich
phd promoviert
approval zustimmung
jobs arbeitsplätze
restaurants restaurants
flexibility flexibilität
entire gesamte
trials trials
soft weiche
buildings gebäuden
skill geschick
members mitglieder
ago her
nine neun
therapy therapie
navigation navigation
earlier vorhin
zone zone
market markt
matters angelegenheiten
argued argumentiert
air air
rice rice
regime regime
missed verpasst
distribution verteilung
stream stream
scholars gelehrten
helen helena
material materielle
pub kneipe
decision beschluss
chief chief
closed geschlossen
psychological psychologischen
stunning betäubung
recognition anerkennung
single einheitliche
metres metern
moore moore
government regierungschefs
paris paris
drivers kraftfahrer
controversial umstritten
comic comic
pop popsong
welsh walisisch
priority vorrangiges
google google
smooth reibungslosen
mechanism mechanism
text text
journalist journalistin
contact contact
played gespielt
stop stop
well gut
partners partnern
proposed vorgeschlagen
possession besitz
thousands tausende
settlement beilegung
supplies lieferungen
packages paketen
artistic künstlerische
please bitte
urban urban
minimum minimum
sir sir
guardian hüter
revenue einnahmen
duration dauer
rates sätze
church kirche
ask fragen
calendar kalender
started begonnen
county county
mortgage hypothek
period zeitraum
sentence satz
robin robin
attractive attraktive
clinical klinische
occupied besetzt
era zeitalter
belief glauben
transmission übermittlung
knows weiß
guilty schuldig
hunting jagd
submission einreichung
integration integration
figures zahlen
les les
arts arts
efficiency energieeffizienz
angeles angeles
married verheiratet
continuous kontinuierliche
half hälfte
spectacular spektakulären
advantage vorteil
twice zweimal
tea tee
clothes kleider
councils räte
dates termine
assets vermögen
consultants berater
this dieser
holds innehat
growing wachsenden
connection verbindung
enforcement durchsetzung
bands bandbreiten
games spiele
cost kosten
share teile
changes änderungen
platform plattform
foods lebensmitteln
agreement einigung
egypt ägypten
trained ausgebildet
honour ehre
board direktoriums
formally formal
conflict konflikt
eat essen
water wasser
comparison vergleich
carbon carbon
draw ziehen
programmes programme
hockey hockey
sense sinn
procedures verfahren
formula formel
some einige
ministers ministern
deal deal
festival fest
million millionen
past vergangenen
yesterday gestern
premier premier
heart heart
phase phase
joe joe
what was
tickets eintrittskarten
exchange austausch
heart mittelpunkt
products produkte
rain regenfälle
weekend wochenende
waste abfall
mother mama
select auswählen
direct direkt
richard richard
christmas weihnachten
perfect perfekt
secure sichern
armed bewaffnete
something etwas
absolute absoluten
arab arabische
beach strand
installed eingebaut
plane flugzeug
maintained beibehalten
environment umwelt
excellence excellence
medieval mittelalterlichen
traditional traditionellen
reporting berichterstattung
extension extension
formal formelle
impression eindruck
older älterer
duties pflichten
marks marks
external externe
men männern
wishes wünsche
reason grund
memory gedächtnis
married verheiratete
pressure druck
computer computer
markets markets
many vielen
adopted angenommen
israeli israelische
forests wäldern
user benutzer
suppliers lieferanten
valid gültig
introduction einführung
food lebensmitteln
savings einsparungen
scottish schottische
drug drug
bush bush
fair fairen
exhibition ausstellung
reader leser
long langen
hidden versteckte
lose verlieren
here hier
towards gegenüber
municipal kommunale
below unterhalb
flights flügen
absolutely absolut
responsibility responsibility
classical klassischen
colour farbe
resistance resistance
fair faire
smooth reibungslose
strike strike
who who
chicago chicagoer
your dein
rain regen
left linken
adequate angemessene
examination prüfung
behaviour verhalten
freedom freiheit
trains zügen
jesus jesus
conference konferenz
parties vertragsparteien
venue veranstaltungsort
targeted gezielte
whole ganze
eastern östlichen
integrated integrierten
ensure gewährleisten
movie rechtfertigenden
slow langsam
benefits nutzen
artistic künstlerischen
highlight hervorheben
unknown unbekannt
booking buchung
channels kanäle
surprised überrascht
average durchschnittlichen
wave welle
brother brother
departments departements
erm wechselkursmechanismus
spaces räume
creation schaffung
poems gedichte
accused beschuldigt
posted entsandten
fault schuld
reports berichte
football fußball
fat fett
guard civil
paper papier
daily täglichen
vehicle fahrzeug
network netzes
team mannschaft
jobs arbeitsplätzen
emphasis schwerpunkt
gene gens
bit bisschen
metres meter
accepted akzeptiert
thames thames
markets märkte
sides seiten
colleagues kollegen
debate debatte
collected gesammelt
usual üblich
coalition koalition
governor gouverneur
won gewonnen
brings bringt
impact auswirkungen
conferences konferenzen
successful erfolgreich
completion vollendung
customer kunde
animal animal
legal rechtliche
company aktiengesellschaft
begins beginnt
recommendations empfehlungen
normal normalen
crime verbrechen
quality qualität
editorial leitartikel
washington washington
sum summe
intervention intervention
treatment treatment
added hinzugefügt
presentation darstellung
alex alex
wall mauer
double doppelte
help help
smart intelligenten
product produkt
solve lösen
concept konzept
clay lehmboden
city city
bring bringen
races rassen
basic basic
official öffentliche
contest contest
effectiveness effizienz
survival überleben
fiction fiktion
school school
francis francis
mutual gegenseitige
crew besatzung
rest rest
problem problem
digital digitale
surgery chirurgie
represent vertreten
risks risiken
helps hilft
constituency wahlkreis
supporters anhänger
promote förderung
aspects aspekten
representatives vertreter
models modelle
methods methoden
vary variieren
task aufgabe
recycling recycling
someone jemand
science wissenschaft
current aktuellen
regional regionalen
fear angst
modules module
asylum asyl
oldest ältesten
sitting sitzung
impact impact
owners eigentümer
often oft
liberal liberale
architectural architektonischen
difficult schwierig
online online
municipal kommunalen
secret geheim
outside außerhalb
developed entwickelten
languages sprachen
sons söhne
learned gelernt
muslims muslime
older ältere
reached erzielt
fishing fischerei
casino casinos
fund finanzieren
brigade brigade
videos videos
energy energie
decisions entscheidungen
having nachdem
convention konvents
red roten
disability behinderung
each jedem
novel novel
things dinge
metal metall
free free
nuclear nuclear
march marsch
regiment regiment
collection sammlung
small kleinen
brother bruder
goals goals
households haushalte
able lage
volunteers freiwillige
needs bedürfnisse
wrote schrieb
france frankreich
them ihnen
christ christus
concert konzert
first erste
understood verstanden
scale ausmaß
lancashire lancashire
end ende
failure scheitern
extended verlängert
baker baker
fail fail
guides guide
sussex sussex
blue blue
virtual virtuelle
jim jim
television fernsehen
transport verkehr
him ihm
atmosphere atmosphäre
remain bleiben
better besseren
regarded angesehen
cathedral kathedrale
means mittel
implementation durchführung
attempt versuch
estimated geschätzten
muslim muslimischen
davis davis
drama drama
nights nächten
hull hull
pure reine
passengers passagiere
novel neuartigen
reasonably einigermaßen
equal equal
jewish jüdische
benefit profitieren
short kurze
designs mustern
requests anträge
pope papst
innovative innovativer
forget vergessen
governor gouverneurs
landscape landschaft
genetic genetischen
ordinary normalen
green grünen
implement umsetzen
beautiful schöne
draw lenken
therapy therapien
guides leitfäden
profession beruf
built aufgebaut
protected protected
nice schön
remaining verbleibenden
through durch
navy marine
independent independent
years jahre
little wenig
middle mitte
theories theorien
assistance hilfe
raised angesprochen
frequent häufigen
would würde
internal internen
remarkable bemerkenswerte
british britische
essay essay
boy junge
cities städten
socialist sozialdemokratischen
designer designer
payment payment
soviet sowjetischen
experienced erlebt
car autofreien
his seine
brazil brasilien
hampshire hampshire
cornwall cornwall
bands bänder
strength kraft
prepare vorbereiten
providers anbieter
representative vertreter
fifth fünfte
valley tal
concentration konzentration
last letzte
profits gewinne
committees ausschüsse
junction knotenpunkt
context kontext
abuse mißbrauch
philadelphia philadelphia
always stets
green grünes
skills fähigkeiten
funny komisch
priorities prioritäten
basic grundlegenden
reached erreicht
functional funktionalen
printer drucker
passion leidenschaft
ban verbot
buildings gebäude
confirm bestätigen
production produktion
definition definition
michael michael
pollution verschmutzung
warm herzlichen
edward edward
ethnic ethnischen
seconds sekunden
club clubs
shops läden
weapons waffen
advanced advanced
logic logik
collective kollektiven
manufacturers herstellern
weekly wöchentlichen
grants zuschüsse
recent jüngsten
principles prinzipien
described beschrieben
reflected widerspiegeln
cars cars
broadband breitband
during während
cook kochen
estimates schätzungen
minutes minuten
planned geplanten
behaviour verwaltungspraxis
holding holding
hundred hundert
third dritten
length länge
electrical elektrischen
birmingham birmingham
amendment änderungsantrag
historic historischer
publishers verlegern
totally völlig
differences unterschiede
identical identisch
formed gebildet
availability verfügbarkeit
practical praktischen
former früheren
price price
editors redaktionen
peoples völkern
cook cook
destroyed vernichtet
goal goal
attacked angegriffen
worldwide worldwide
global globalen
resolved gelöst
sunday sonntag
moon mond
health gesundheit
entries einreisen
grey grau
spoke sprach
cause ursache
guarantee garantieren
phd doktortitel
replacement ersetzung
recommend empfehle
update aktualisierung
copyright urheberrechte
gained gewonnen
election wahl
seems scheint
mill mühlen
officials beamte
expenditure ausgaben
external auswärtige
networking vernetzung
treatment behandlung
define definieren
houses häusern
words worten
architect architekten
holidays urlaub
episode episode
demands forderungen
rule regel
berlin berliner
smith smith
younger jüngere
directly unmittelbar
actually eigentlich
evil übel
nominated nominiert
famous berühmten
homes häuser
desk schreibtisch
locally lokal
quickly rasch
primary primary
expectations erwartungen
role rolle
married verheirateten
concern besorgnis
damage schaden
welfare wohlergehen
mainly hauptsächlich
clinical clinical
deposit einlage
ken ken
liberal liberalen
college kollegiums
spectrum frequenzen
associations vereinigungen
buying kaufen
unknown unbekannten
artificial künstlichen
interpretation interpretation
share teilen
hundreds hunderte
fruit fruit
equality gleichheit
progress fortschritt
destroy zerstören
passengers fluggäste
philosophy philosophie
sydney sydney
use nutzung
parts teile
power macht
law recht
levels ebenen
immediate sofortige
ltd gmbh
writers schriftstellern
january januar
reply antwort
monday montag
curriculum lehrpläne
active aktiv
menu speisekarte
loss verlust
presentation vorlage
made gemacht
weeks wochen
moments momenten
prisoners gefangenen
menu menü
northern norden
intelligent intelligente
packages pakete
print drucken
saturday samstag
map landkarte
luck glück
sad traurige
websites websites
bed bett
long lange
map karte
worldwide weltweiten
syndrome syndrom
legacy erbe
guaranteed garantiert
reliable zuverlässige
think glaube
mathematics mathematik
sciences wissenschaften
stars sternen
act akte
agenda tagesordnung
fan fan
breakfast frühstück
birthday geburtstag
can können
diet unterhauses
personally persönlich
starring glanzvolle
escape entkommen
agriculture landwirtschaft
always immer
games spielchen
clothing bekleidung
taxes steuern
german deutschen
american amerikanischen
provision bereitstellung
java java
architectural architektonische
hundreds hunderttausende
lessons lehren
award vergabe
experimental experimentelle
basic grundlegende
feet füße
times zeiten
with mit
marked gekennzeichnet
subscription abonnement
lessons lektionen
fire fire
iraq irak
ward ward
aware bewusst
fund fonds
associations verbände
especially besonders
category kategorie
regarding bezüglich
pupils schülern
stages stufen
trustees treuhänder
double doppelten
bits bit
enterprise enterprise
glory ruhm
entries einträge
sensitive sensiblen
active aktives
weak schwache
believe glaube
politicians politiker
saint sankt
otherwise ansonsten
today heute
rolling rolling
client kunde
college kollegium
structure struktur
save retten
deputy stellvertretende
instead anstatt
stuart stewart
complex komplexe
pensions renten
bonus bonus
controlled kontrollierte
alan alan
rejected abgelehnt
efficiency effizienz
irish irischen
star stern
save save
special besonderen
women frauen
procedure verfahren
attack anschlag
housing wohnungsbau
moments momente
roads straße
incident vorfall
quite ganz
wear wear
drinks getränken
court gerichtshofs
prices preise
foreign ausländischen
nature natur
machine maschinerie
tissue gewebe
killing tötung
shell shell
times times
fraud betrügereien
imperial imperial
depends abhängt
forest forest
had hatte
agreements abkommen
consumers verbraucher
pounds pfund
visitors besucher
britain großbritannien
horses pferde
will werden
poker poker
country country
kevin kevin
changed geändert
clubs clubs
policies politiken
once sobald
chemical chemische
durham durham
healthy gesunde
victory sieg
directors direktoren
dog hund
train zug
emperor kaiser
their ihre
financial financial
raise ansprechen
sri sri
person person
marine marinen
best best
congress kongress
human menschlichen
hopes hofft
india indien
witness zeuge
creates schafft
judges richter
photography fotografieren
boats boote
supplier lieferanten
town stadt
chocolate schokolade
encouraged ermutigt
distinguished verehrte
faced konfrontiert
animal tierischen
council rates
history geschichte
master master
personal persönlichen
median gewichteten
understanding understanding
received erhalten
surprised erstaunt
extended ausgedehnt
chancellor bundeskanzler
property eigentum
sea sup
opera opernhauses
california kalifornien
douglas douglas
ideal ideale
goods güter
styles gebärdet
bit bit
never niemals
empire imperiums
effectiveness effektivität
three drei
leaving abgesehen
spirit spirit
limited begrenzte
sales sales
youth youth
bought gekauft
resolution entschließung
per per
shoes schuhe
london london
sell verkaufen
sad traurig
howard howard
tel tel
radical radikalen
inn herberge
than als
protected geschützt
youth jugend
collect sammeln
sand sand
command kommando
saints heiliger
republican republikanischen
agencies agenturen
sensitive sensible
sufficient ausreichende
sporting sportliche
russia russland
should beruhender
recordings aufnahmen
spanish spanischen
illness krankheit
seemed schien
sarah sarah
graham graham
trust trust
copyright urheberrechts
geography geographie
absence fehlen
pack pack
equal gleiche
disease krankheit
aircraft flugzeuge
era era
transition übergangs
requirements anforderungen
meetings sitzungen
grass grass
cardiff cardiff
english englisch
who wer
good gut
contact kontakt
fine fine
room raum
effectively effektiv
fantastic phantastische
latin lateinischen
shock schock
programme programms
legislation rechtsvorschriften
awareness awareness
resolution resolution
minute minute
therefore deshalb
golden goldene
linked verbunden
proposal vorschlag
news news
ltd ltd
beds betten
exceptional außergewöhnlichen
thousand tausend
dvd dvd
will kann
listen hören
common gemeinsame
electric elektrischen
country land
treaty vertrags
mobile mobilen
buy kaufen
cable kabel
louis louis
decline niedergang
compare vergleichen
answer antwort
perceived wahrgenommen
lower niedrigeren
caribbean karibischen
mountains berge
conventional konventionellen
estimate schätzung
poet dichter
weekly wöchentliche
boys jungen
produce produzieren
smaller kleineren
pool bündeln
christian christliche
type art
miles meilen
robinson robinson
better besser
marked geprägt
sales verkäufe
traditions traditionen
organisations organisationen
conversion umstellung
closely eng
genuine echte
direction richtung
flights flüge
debate aussprache
world world
themselves selbst
extreme extremen
scotland schottland
francisco francisco
virtually praktisch
engineers ingenieure
revolutionary revolutionäre
stress betonen
references verweise
rates steuersätze
lecturer dozent
exception ausnahme
stephen stephen
errors fehlern
demonstrate demonstrieren
based based
legs beinen
hour stunde
owner eigentümer
characters figuren
part teil
political politische
daily tägliche
tool werkzeug
care care
earl earl
start start
millions millionen
force kraft
immediate unmittelbare
investment investitionen
month monats
happy froh
certificate bescheinigung
each jeder
airport flughafen
thank danken
lift aufheben
group gruppe
objectives ziele
forum forum
root wurzel
competition wettbewerb
soil boden
commander kommandant
sons söhnen
regime regimes
moscow moskau
london londoner
massive massive
historic historische
investigation investigation
policies politik
municipality gemeinde
diet reichstags
christians christen
august ehrwürdigen
latest jüngsten
foundation fundament
july juli
maximum maximale
submitted eingereicht
hoped gehofft
voluntary freiwillige
trustees sachwalter
happy glücklich
patient patienten
academic akademischen
association vereinigung
plc plc
properties eigenschaften
hills hügeln
movie filmstars
split split
restrictions beschränkungen
influence beeinflussen
programmes programmen
appointment ernennung
san san
represents darstellt
should sollten
biology biologie
towns städte
european europäischen
city stadt
discuss diskutieren
news nachrichten
camera kamera
practical praktische
opportunities chancen
thirty dreißig
westminster westminster
division spaltung
opportunity möglichkeit
literature literatur
signal signal
poet dichters
zero null
work arbeit
presence präsenz
situation situation
nottingham nottingham
division aufteilung
minister minister
working arbeiten
acts rechtsakte
commerce commerce
avoid vermeiden
guests gästen
crossing überschreitens
appointed ernannt
makes macht
engine motor
oldest älteste
served gedient
magazines zeitschriften
specification spezifikation
hull außenhaut
lawyer rechtsanwalt
congress kongresses
circle circle
bar bar
documentation unterlagen
book buch
interesting interessante
medicine medicine
song song
interpretation auslegung
function funktion
needs braucht
authority behörde
accessibility zugänglichkeit
improve verbesserung
audio akustische
cells zellen
shell hülle
wall wall
occasional gelegentliche
destruction zerstörung
announced angekündigt
modules modulen
intelligence nachrichtendienstes
various verschiedenen
biological biologischen
boston boston
fuel kraftstoff
situations situationen
september september
cattle rinder
support support
waters gewässer
sue sue
measures maßnahmen
send schicken
confident zuversichtlich
formally formell
district district
board bord
reaction reaktion
bottle flasche
christopher christopher
waters gewässern
has hat
dvd dvds
exclusive ausschließliche
reviewed überprüft
routes strecken
nevertheless dennoch
jersey trikot
confused verwechselt
concerns bedenken
unique einzigartige
winter winter
step schritt
performance leistung
effectiveness wirksamkeit
relationship verhältnis
specific spezifischen
constantly ständig
agreed vereinbart
plans pläne
seed seed
certain bestimmten
nature nature
literary literarische
empty leeren
williams williams
parallel parallele
suitable geeignete
use nutzen
effects folgen
fees gebühren
delegates delegierten
quoted zitiert
charlie charlie
technology technologie
kill töten
living lebenden
belgium belgien
death tod
attacks anschläge
nations nationen
written schriftliche
cool kühlen
sixth sechste
tiny winzigen
university universität
courses kurse
contributed beigetragen
column spalte
informal informellen
turkey türkei
legs beine
appeal appell
change änderung
rivers flüssen
doctors ärzten
few paar
open offenen
scale scale
versions versionen
very very
bound gebunden
aspect aspekt
midlands midlands
brown braune
automatic automatischen
company company
few wenige
seriously ernsthaft
neil neil
weekly weekly
archive archivs
correct korrigieren
heads köpfe
armed armed
contains enthält
gordon gordon
pension rente
chemical chemischen
inclusion aufnahme
storm orkan
king könig
than than
directly direkt
should sollen
section einzelplan
point point
offered angeboten
students studenten
parties parteien
books büchern
massachusetts massachusetts
structural strukturellen
medieval mittelalterliche
tip spitze
results ergebnisse
tone ton
enter treten
efficient effizienten
federal federal
base base
shops geschäften
military militärischen
properly ordnungsgemäß
guaranteed gewährleistet
stars stars
star star
roman römischen
must muss
alternative alternative
centre zentrum
spent ausgegeben
disabilities behinderungen
messages botschaften
wilson wilson
crash absturz
begun begonnen
site standort
resource ressource
flag fahne
existing bestehende
maintained aufrechterhalten
right richtige
yorkshire yorkshire
indeed denn
need brauchen
student student
gay homosexuelle
active aktiven
accordance übereinstimmung
season saison
exceptional außergewöhnliche
conclusions schlußfolgerungen
information information
lives leben
bills rechnungen
better bessere
adams adams
cross überschreiten
modelling modellierung
starting angefangen
origins ursprung
types arten
reach reach
planned geplant
agreement abkommen
implementation umsetzung
regulations verordnungen
look seht
psychological psychologische
dramatic dramatischen
factory factory
this diesem
blue blaue
port hafen
wireless drahtlose
grass gras
introduce einzuführen
best besten
principles prinzipienerklärung
challenges herausforderungen
chinese chinesen
market marktes
ministry ministerium
engineering ingenieurwesen
controlled kontrollierten
technology technologien
employees arbeitnehmer
animals tieren
organic ökologischen
successful erfolgreiche
commitment engagement
waste abfällen
bath badewanne
universities hochschulen
private privaten
full volle
memorial denkmal
construction bau
talks gesprächen
both beiden
nice nizza
twice doppelt
genre genre
reality wirklichkeit
violent gewaltsamen
said sagte
spectrum spektrum
mail mail
delighted erfreut
jan jan
couples paaren
waste abfälle
core kern
talent talente
meals mahlzeiten
necessary notwendig
visited besucht
funded finanziert
swimming schwimmen
ground boden
illinois illinois
europe europa
eric eric
establishment einrichtung
living leben
clubs klubs
few wenigen
data daten
liability haftung
shopping einkauf
monthly monatlichen
minority minderheit
companies unternehmen
thanks dank
typically typisch
discussed diskutiert
mountains bergregionen
involvement beteiligung
protect schützen
experts sachverständiger
agreements vereinbarungen
publications publikationen
newsletter newsletter
locations standorten
last letzten
explained erläutert
fifth fünften
constitutional konstitutionellen
improvement verbesserung
pilot piloten
crystal crystal
start beginnen
wealth reichtum
implemented umgesetzt
against gegen
demand nachfrage
buy buy
seem scheinen
formats formaten
horse pferd
station station
typical typisch
melbourne melbourne
arts künsten
permission erlaubnis
interface schnittstelle
others andere
milk milch
materials material
bars gittern
periods zeiträume
seriously ernst
message botschaft
much viel
patent patents
boxes boxes
amounts beträge
england england
authors verfasser
software software
general allgemeinen
his seinen
genetic genetische
changed verändert
whereas tiefs
polish polnischen
electoral electoral
because denn
systems systemen
editor herausgeberin
assembly versammlung
approximately ungefähr
use verwendung
websites webseiten
suppliers zulieferer
dominated beherrscht
broadcast ausgestrahlt
duty pflicht
five fünf
strategic strategischer
perspective vorausschau
build bauen
values werte
presentation präsentation
said gesagt
instruments instrumente
fleet flotte
turkish türkische
confirmed bestätigt
willing bereit
representatives vertretern
opera opernhaus
sign unterzeichnen
sun sun
extra zusätzlichen
courts gerichte
league liga
cinema kino
equality gleichberechtigung
new neue
internal interne
could könnten
choice wahl
level level
protest protestieren
item tagesordnungspunkt
physical physische
territory territorium
possibility möglichkeit
transfer übertragung
source quelle
needed erforderlich
gold gold
objectives zielen
channel ärmelkanal
further weitere
roman römische
network netzwerk
hand hand
areas bereichen
meat meat
dream traum
paint zeichnen
shore ufer
lewis lewis
charity almosen
towns städten
sad sad
opportunity gelegenheit
clinical klinischen
rail schiene
without ohne
elected gewählte
valuable wertvollen
painted gezeichnet
arts kunst
strong starke
budget haushaltsplan
recently kürzlich
shares teilt
supplied geliefert
these diese
wood wood
sample stichprobe
interaction interaktion
build aufbauen
module modul
products produkten
portfolio ressort
december dezember
acid sauren
appear erscheinen
manor mildtätigkeit
account account
kent kent
replace ersetzen
diversity vielfalt
navy navy
eggs eiern
eastern östliche
repeat wiederhole
vessels schiffen
context rahmen
awards auszeichnungen
depends hängt
islands inseln
contributions beiträge
departments abteilungen
granted gewährt
scientists wissenschaftler
short short
demand forderung
writers schriftsteller
but aber
assets vermögenswerte
offence straftat
beauty schönheit
workplace arbeitsplatz
reverse umzukehren
reduction senkung
books books
letter schreiben
described bezeichnet
upper oberägypten
encourage fördern
branch zweig
hospital hospital
response response
newcastle newcastle
horror schrecken
laboratory labors
electronic elektronische
when wenn
toronto toronto
celebrated gefeiert
whose dessen
cancer krebsbekämpfung
encouraged gefördert
equipped ausgestattet
israel israel
cities cities
devon devon
hell hölle
leaders führer
study study
oral mündliche
works werke
implement umzusetzen
congress kongreß
found gefunden
black schwarze
faith glauben
angel engel
threatened bedroht
comments anmerkungen
reasons gründe
speak sprechen
until bis
press presse
procedure gekürzte
victims opfern
simply einfach
employer arbeitgeber
participants teilnehmer
risks gefahren
ian ian
francis franziskus
count graf
had hätte
follow verfolgen
repeat wiederholen
alleged angeblichen
opinions stellungnahmen
strategic strategischen
arena arena
contrast gegensatz
for für
black schwarzen
airport airport
fee gebühr
corps corps
pleased froh
republican republican
send entsenden
activity tätigkeit
fear befürchte
forms formen
unique einmalige
learn lernen
meeting treffen
literacy alphabetisierung
smoke rauchen
routine routine
spend ausgeben
had hatten
industries industrien
elsewhere anderswo
engineer ingenieur
wish wunsch
various verschiedene
universe universum
enhanced verstärkten
event falle
occasions gelegenheiten
texts texten
temperature temperatur
boys boys
convention konvent
revolution revolution
jack jack
bank bank
strongly nachdrücklich
rules vorschriften
regarding hinsichtlich
compact kompakten
lead führen
offers bietet
campaigns kampagnen
oil oil
attitude einstellung
fourth vierten
russian russischen
courts gerichten
stage phase
submitted vorgelegt
principle prinzip
museum museum
allied allied
improving verbesserung
proposals vorschlägen
hair haare
theoretical theoretische
necessary notwendigen
under unter
mechanism mechanismus
parts teilen
she she
assessed bewertet
popularity beliebtheit
kingdom königreich
clearly klar
issues fragen
threat bedrohung
africa afrika
industrial industriellen
foods lebensmittel
reasonable vernünftig
travel travel
defence verteidigung
planned geplante
iran iran
collections sammlungen
each jedes
publication veröffentlichung
deeply tief
organisations organisations
impressive beeindruckend
funds mittel
sense sinne
first zunächst
opening öffnung
internal inneren
efficient effizient
institute institut
active aktive
fall fallen
missing vermisste
soldiers soldaten
basketball basketball
lords oberhaus
solutions lösungen
connect connect
animals animals
hollywood hollywood
muslims moslems
activity activity
songs lieder
come okay
wood holz
good gute
editors redakteuren
harris harris
fear fürchte
how wie
founded gegründet
brian brian
programming programmplanung
competitive wettbewerbsfähigen
academic akademische
mark mark
local lokalen
facility facility
brand marke
white white
criteria kriterien
films filmen
arguments argumente
allied alliierten
power power
tower turmbau
manual manuelle
sponsored gesponsert
deeply zutiefst
british britischen
chain chain
whole gesamten
goals ziele
neither weder
guy guy
prisoners gefangene
licence lizenz
association association
architect architekt
automatically automatisch
communist kommunistischen
measured gemessen
late spät
lunch mittagessen
mill mill
exercises übungen
essex essex
ability fähigkeit
several mehrere
clay tönernen
reserved reservierten
shift verlagerung
chamber kammer
purposes zwecken
dry trocken
muslim muslimische
skin haut
human human
exercise ausübung
aviation aviation
impressed beeindruckt
journal journal
covered abgedeckt
october oktober
tough harte
combined kombinierten
because weil
maps karten
championship meisterschaften
oak eiche
argument argument
sky himmel
fired abgefeuert
secure secure
gain gewinnen
income einkommen
script manuskript
positive positive
had wären
require erfordern
summit gipfeltreffen
noticed bemerkt
operators betreiber
immediate unmittelbaren
strategy strategie
mathematical mathematischer
adventure abenteuer
cape kap
friend freund
station bahnhof
interests interessen
japan japan
song lied
portfolio portfolio
visible sichtbare
either weder
examples beispiele
simon simon
australia australien
members abgeordneten
rent miete
tennis tennis
largest größte
productions produktionen
flash flash
scheme scheme
other andere
life life
habitat lebensraum
now jetzt
gary gary
regularly regelmäßig
spring spring
such solche
equipped ausgerüstet
body gremium
investigation untersuchung
acquired erworben
name name
removed entfernt
birds vögeln
physical physischen
publish veröffentlichen
environmental umwelt
event ereignis
typical typisches
railway eisenbahn
content inhalt
nature charakter
sounds klingt
ships schiffen
asia asien
wonderful wunderbare
database datenbank
wealth wohlstand
document dokument
evans evans
experimental experimentellen
virtual virtuellen
solid solide
materials materialien
number zahl
article artikels
health volksgesundheit
wireless drahtlosen
attack angriff
effective effective
contribute beitragen
compact compact
dublin dubliner
close enge
produces produziert
brown braun
stars sterne
shower dusche
direct direkte
concluded abgeschlossen
depth tiefe
preferred vorgezogen
protection schutz
classic klassischen
meetings treffen
socialist sozialdemokratische
constitutional verfassungsmäßigen
visits besuchen
academy akademie
catch fangen
stuff zeug
boats booten
managers manager
principles grundsätzen
hard hart
emotional emotionale
other anderen
secretary außenministerin
industrial industrielle
capacity kapazitäten
names names
regulatory regulatory
